Date,Open,High,Low,Close,Volume
2024-07-29,4101.803173878207,4116.668145742772,4060.924501250656,4070.30810546875,1746803
2024-07-30,4079.5976241161015,4086.0080507932844,4020.3232924395934,4055.67431640625,1797906
2024-07-31,4041.413235340456,4100.873108228224,4036.7679327710994,4074.255615234375,2330091
2024-08-01,4087.309021156136,4105.797235952523,4055.3956995339786,4085.17236328125,2202244
2024-08-02,4055.3495895771916,4086.0085899107653,3967.0888310411474,3979.212890625,2811282
2024-08-05,3938.2880347144414,3938.2880347144414,3818.903743027533,3860.293212890625,2787771
2024-08-06,3875.065586406783,3956.1723973259723,3865.6352581703713,3875.2978515625,2203067
2024-08-07,3928.0680935195514,3943.8158516524645,3883.7517228332504,3902.47265625,1237666
2024-08-08,3884.4020123383602,3931.784098592667,3864.8917415277633,3876.55126953125,2441283
2024-08-09,3917.8489177851575,3951.898901241262,3907.2109914599246,3928.765380859375,1302536
2024-08-12,3929.926507307199,3938.288053067427,3889.3731010986708,3898.01318359375,936912
2024-08-13,3914.1324330562766,3933.642706280625,3886.2606141643496,3899.22119140625,1495593
2024-08-14,3910.416129361195,4000.721002615426,3891.0451248057766,3990.547607421875,3226545
2024-08-16,4041.4130806152543,4112.950737444536,4018.279565434088,4102.77734375,3457058
2024-08-19,4107.377235436386,4175.430929735349,4078.901616536801,4171.482421875,2055210
2024-08-20,4185.417806867609,4241.161440255413,4180.772504085293,4202.41943359375,2212298
2024-08-21,4197.495611851862,4236.516155388334,4173.8508391327405,4228.619140625,1896990
2024-08-22,4236.5168692386715,4237.399658376934,4178.172037672117,4182.63134765625,1829872
2024-08-23,4180.773068059991,4186.347432150737,4138.965337379391,4147.23388671875,1809253
2024-08-26,4170.5527823500615,4229.222864979793,4166.836540173764,4183.048828125,1844164
2024-08-27,4185.4182168111465,4190.06352004845,4168.509131570201,4178.125,930697
2024-08-28,4179.611593409034,4238.83920976465,4141.101848062617,4186.3935546875,1848058
2024-08-29,4143.610677557092,4232.800503800473,4143.610677557092,4191.73583984375,2133641
2024-08-30,4180.77295069311,4266.478796182319,4169.438229236293,4230.7099609375,3637222
2024-09-02,4251.381655472286,4262.530383589784,4191.921772178967,4200.32958984375,1216500
2024-09-03,4200.329136859027,4232.706988670382,4176.9633540945715,4192.24658203125,1717263
2024-09-04,4159.358459046624,4168.695337572208,4121.963766080883,4161.4951171875,1265505
2024-09-05,4163.120774045665,4179.843865751271,4138.1754048562225,4158.42919921875,1688793
2024-09-06,4156.5713342216295,4198.379066063604,4125.02954174146,4140.59130859375,1649179
2024-09-09,4138.964928860649,4171.714314661398,4116.202944403391,4133.9013671875,1184938
2024-09-10,4127.30496423786,4217.888362209953,4125.446843253818,4188.0654296875,1385591
2024-09-11,4200.701434505407,4226.622135770557,4154.062408672436,4161.587890625,1325919
2024-09-12,4190.296089653868,4211.060687361837,4116.9465647505085,4197.2177734375,2742216
2024-09-13,4208.644488913913,4224.43851900476,4185.417974074432,4201.76953125,1458786
2024-09-16,4205.8580816078,4223.556507717359,4175.617335175356,4193.08349609375,1155120
2024-09-17,4193.0829242332575,4214.033060161901,4149.184809090063,4186.02197265625,1699364
2024-09-18,4178.031319677868,4178.031319677868,4014.4704009082216,4037.836181640625,2961779
2024-09-19,4078.6227421526683,4108.492406554244,3978.051921437468,3991.384033203125,2927551
2024-09-20,4010.661579574174,4023.4828879317256,3927.6036533634933,3980.931640625,5447908
2024-09-23,3994.9609683857766,4003.694048146223,3951.29511594063,3965.695556640625,1702319
2024-09-24,3950.039707478886,3986.5983263222847,3939.2162441404075,3968.295654296875,3012026
2024-09-25,3950.691085610406,3985.298594296038,3939.2170960290077,3971.501953125,2713073
2024-09-26,3957.7984481927056,4010.568912711446,3957.7984481927056,3987.992919921875,3964251
2024-09-27,4027.4778141813813,4067.4274211040574,3995.0069638417276,4003.043701171875,3012477
2024-09-30,3982.790182613972,3993.799642522874,3957.8448123502358,3965.695556640625,2503416
2024-10-01,3953.664034258638,3991.012455419667,3941.958232489669,3983.71923828125,1823365
2024-10-03,3960.2139962956594,3975.4505001458124,3911.3453156377354,3932.4814453125,3350119
2024-10-04,3925.280999271066,3993.1024224537377,3924.398210251953,3950.597900390625,2965463
2024-10-07,3970.7119044131277,3992.4055595878863,3929.368708787632,3969.736572265625,1472619
2024-10-08,3969.5045134149964,3975.8219442019727,3905.724592296589,3951.527099609375,1541867
2024-10-09,3957.7979865079874,3990.315106115447,3945.441662514293,3951.248291015625,1082504
2024-10-10,3951.5270497469596,3989.247001339516,3900.753978007147,3927.5107421875,2378875
2024-10-11,3849.098285072824,3941.0290181370206,3820.7156635830906,3854.858642578125,5759183
2024-10-14,3846.311174442351,3869.909224735711,3829.7740759707513,3843.19873046875,2137590
2024-10-15,3837.9952157049133,3874.1360322446685,3804.502765974405,3824.756103515625,2759474
2024-10-16,3795.2124356440127,3823.0842527968452,3778.67511210238,3804.45654296875,2359151
2024-10-17,3821.0405029589083,3836.9742562004353,3802.5987849412795,3817.51025390625,2522659
2024-10-18,3809.128022883925,3861.4219511234783,3799.814751434331,3839.908203125,2361000
2024-10-21,3848.8025545031073,3855.647899798256,3790.501385728475,3799.675048828125,1595450
2024-10-22,3786.7761613201965,3808.941792786158,3731.222588221232,3739.744140625,1928049
2024-10-23,3724.936169449571,3831.0606256089795,3720.791581721823,3787.009033203125,1966476
2024-10-24,3729.033775833075,3798.8833095961822,3729.033775833075,3769.9189453125,2676744
2024-10-25,3778.440830569176,3810.990668738502,3755.762923689694,3778.906494140625,1759676
2024-10-28,3789.5234771784344,3850.106352412569,3772.8062006829505,3809.919677734375,1532534
2024-10-29,3814.576544255364,3821.701106275593,3781.2815973687175,3795.39111328125,1445885
2024-10-30,3795.158291397516,3824.960761415852,3781.234995410785,3804.1455078125,1935002
2024-10-31,3790.501362953683,3798.23142349314,3688.055380171151,3695.925048828125,3740372
2024-11-01,3715.855640568731,3724.3305810268316,3703.003280699814,3710.593505859375,154895
2024-11-04,3693.922655669424,3717.764492575113,3644.5157084293937,3691.920166015625,2269192
2024-11-05,3670.453574014962,3712.2700726947464,3670.453574014962,3698.626220703125,967590
2024-11-06,3728.661529286281,3864.8212879793314,3702.258313204772,3855.368408203125,3792017
2024-11-07,3883.3546808183637,3916.975224376799,3804.517707610648,3865.845458984375,3724349
2024-11-08,3869.664484727288,3883.4015608162717,3834.8793231384825,3862.2138671875,1648039
2024-11-11,3844.704960664376,3943.518408459811,3834.879186284666,3910.363525390625,1406487
2024-11-12,3926.4751190486577,3928.3377732797053,3878.3721644817633,3909.15234375,1587640
2024-11-13,3891.1780687289943,3908.5472291817673,3847.358853332509,3865.333740234375,1098813
2024-11-14,3851.038077317304,3874.3212579540473,3833.7621391846897,3861.189453125,1825432
2024-11-18,3923.681541984777,3923.681541984777,3716.1817937910387,3743.4697265625,3313944
2024-11-19,3743.8418634756777,3848.383334503383,3738.440347986104,3762.142578125,1776233
2024-11-21,3767.124986745769,3811.409636894372,3747.660340835974,3793.15576171875,2384347
2024-11-22,3791.4326091135326,3962.7504103811857,3775.6000484761144,3953.111083984375,3096553
2024-11-25,3986.0801022933974,4030.8770280377776,3960.1893900708537,4018.769775390625,4052167
2024-11-26,4024.3109738880953,4066.733198149224,4014.0199908461996,4053.787841796875,2060669
2024-11-27,4059.6086406624336,4076.7913536382084,4027.1049595017485,4035.021240234375,1558993
2024-11-28,4022.401811054281,4041.9132960200004,3942.307679137016,3953.390380859375,2558544
2024-11-29,3930.2002766528776,4003.4958997310346,3907.5223713104324,3977.558349609375,2017425
2024-12-02,3976.766970418375,3993.7173066183545,3939.560268502564,3982.960205078125,1670944
2024-12-03,4018.071307960362,4027.9898509787527,3972.529502098055,4007.267822265625,2010905
2024-12-04,4017.3260445950987,4085.6858211811555,3994.5085294279797,4055.370849609375,3302642
2024-12-05,4098.584762623309,4180.728007626903,4060.5867928833363,4157.4912109375,3746747
2024-12-06,4147.199797372343,4158.375723168091,4109.713879599103,4140.21484375,1842087
2024-12-09,4126.198676219265,4162.473596939852,4112.321537472264,4146.408203125,2066639
2024-12-10,4122.193406026578,4185.1975942064855,4109.108442002176,4128.15380859375,2087828
2024-12-11,4127.502045111503,4143.148158287083,4104.358476029229,4123.404296875,1635256
2024-12-12,4125.825217645854,4177.00182096417,4122.05352499162,4149.015625,1914642
2024-12-13,4130.389146191078,4186.221930852545,4092.6235608796533,4166.6640625,1967048
2024-12-16,4152.787550664486,4167.6887843067,4095.045270300907,4111.99560546875,1646224
2024-12-17,4107.152673369455,4128.52681305927,4021.470576782156,4031.24951171875,3225027
2024-12-18,4015.60360927398,4062.449184824082,3995.021187516033,4049.27099609375,1575404
