Date,Open,High,Low,Close,Volume
2024-04-10,900.2714094279359,945.9303059101861,898.2820320695208,942.0000610351562,4586719
2024-04-12,940.3502187383218,946.1243108749344,916.2834757601734,918.8065795898438,997938
2024-04-15,906.4821824608534,925.648249874967,894.9825657046166,901.4359741210938,2887446
2024-04-16,892.7990413319246,931.519371273224,889.9847597920179,918.8551635742188,2600963
2024-04-18,926.4730935762256,926.7157020086468,892.799031310047,896.8263549804688,1614368
2024-04-19,888.9172899691877,906.3365871372969,871.7891110717658,899.4464721679688,1884184
2024-04-22,912.1106453195644,920.3593316519746,901.9696014530163,917.7876586914062,1124453
2024-04-23,918.0302345909959,930.1121454018644,912.1591228437952,920.3107299804688,1271123
2024-04-24,919.8255165807201,947.5314448269079,919.7770067440639,944.2804565429688,2166181
2024-04-25,952.5777225663753,982.0789315543075,939.5739461651667,975.091796875,3929729
2024-04-26,980.0894364766107,1047.097865415423,976.4503104383272,1036.423095703125,7642272
2024-04-29,1050.9797606721818,1051.8046056748462,1005.7575712089886,1018.518798828125,3847372
2024-04-30,1026.7189085251625,1028.562756344234,994.0637891128267,997.6058959960938,2814829
2024-05-02,1003.1857880815219,1024.3412890864633,998.1880310798673,1019.4405517578125,1530017
2024-05-03,1029.8241133324198,1042.0031026853972,1017.0630059590112,1028.1258544921875,2723333
2024-05-06,1037.3936283753208,1037.3936283753208,997.363238131652,1001.8272094726562,1290298
2024-05-07,1002.4579253514477,1003.1857505634647,955.8771117823582,972.714111328125,2022960
2024-05-08,975.2374396129942,1001.4876615308411,970.9189974434172,988.9205322265625,1361317
2024-05-09,987.6589454152466,996.635457569598,958.7400316181544,961.3116455078125,839141
2024-05-10,968.4928316364332,983.0493371219507,949.1326674945803,972.1319580078125,1407788
2024-05-13,979.6528525832924,988.5808547649856,963.7377156841623,983.2434692382812,2352890
2024-05-14,990.7157196992291,1004.3988102333693,975.2858012410977,996.7323608398438,1129308
2024-05-15,999.4496486932085,1007.8923741386471,991.1038836908326,996.8294067382812,1057905
2024-05-16,1001.48757536493,1011.1919123355204,988.9204471419009,1005.7575073242188,1069653
2024-05-17,1004.3987948947089,1083.052487038792,969.1235565633391,1054.909912109375,12366085
2024-05-21,1084.9449093883047,1086.1093824790385,1045.6423433505352,1061.5089111328125,3637937
2024-05-22,1063.595296197089,1067.4770308547427,1038.4125899900175,1049.815185546875,1796314
2024-05-23,1051.9015316204868,1080.3352856010456,1044.720417214958,1073.154052734375,3765254
2024-05-24,1077.0358338499364,1086.7887400606317,1063.5467815323648,1070.2427978515625,2248991
2024-05-27,1080.4809774928717,1082.5188647068574,1065.1966456962487,1070.43701171875,2770553
2024-05-28,1073.2995763966812,1078.4429219320414,1038.6551437835205,1048.74755859375,2215982
2024-05-29,1045.1085629157626,1064.7598460380798,1030.6006259704127,1052.7265625,1886810
2024-05-30,1046.1276424520004,1054.57036917638,1032.007783195852,1034.531005859375,841185
2024-05-31,1041.275278129181,1048.6991190419938,1015.6073561692581,1043.070556640625,2862392
2024-06-03,1088.8265789666275,1145.111731890036,1072.3292065580424,1139.53173828125,7777140
2024-06-04,1145.1117681571145,1145.1117681571145,854.6609730460898,920.698974609375,11525081
2024-06-05,950.0545599913675,975.1888156588525,864.5108085532363,963.8832397460938,9725718
2024-06-06,984.019660770341,1042.5368536621424,975.3827781226354,1021.6239624023438,4231087
2024-06-07,1025.7483098447133,1028.659610629514,1009.7361555283105,1023.6134033203125,1823209
2024-06-10,1030.018340534681,1042.1001925705068,1011.5801004555342,1023.7589721679688,3010024
