Date,Open,High,Low,Close,Volume
2024-04-08,476.79618346306347,486.3817673386585,468.45225631523687,481.16680908203125,422551
2024-04-09,476.84586632199404,489.7094429218655,468.8496086391897,487.3751220703125,1046006
2024-04-10,489.7590560341262,498.8480073183156,471.8295454332176,484.5440979003906,777243
2024-04-12,481.76283036714375,486.2327947726121,468.8495998624574,472.17724609375,1030849
2024-04-15,461.44931699628023,466.86295272255376,438.65251653571295,458.96600341796875,509217
2024-04-16,450.07574045403567,471.77990629710183,450.07574045403567,464.0816345214844,372872
2024-04-18,464.92594235460257,468.05494162250943,443.42045346065413,452.3603820800781,622269
2024-04-19,440.0431424374198,453.651712241061,432.29521661486564,450.3240661621094,842968
2024-04-22,452.9564027498239,484.5938242239651,444.1158123554227,475.00823974609375,637445
2024-04-23,478.63387374225863,480.62052464058587,459.0653502681809,464.92596435546875,851343
2024-04-24,466.81328186550036,471.2335616883251,441.6821311643047,451.6650695800781,528409
2024-04-25,455.2907091187374,465.5219487472496,445.0097850312429,453.00604248046875,1523583
2024-04-26,464.77694683572776,481.76281717412877,459.9593126012094,471.730224609375,1131532
2024-04-29,472.82290235133587,480.0245116833678,467.7569366205086,471.382568359375,341795
2024-04-30,473.76657702017724,479.27952104341216,470.48858490553806,475.1572265625,431527
2024-05-02,476.8955592501512,478.6835329520016,462.2440087200247,464.031982421875,396813
2024-05-03,466.5649520848428,476.7961915700629,464.8762867808113,474.014892578125,422604
2024-05-06,478.78285372093325,492.6894096381388,473.81622660764555,479.1305236816406,1106868
2024-05-07,481.3655193270711,489.70944704766157,470.7369248822263,488.8154602050781,946979
2024-05-08,492.0933892733218,496.6626921034505,477.93850254837344,480.3721618652344,551711
2024-05-09,482.20984400695716,494.67606607670916,464.8763030600399,474.362548828125,413234
2024-05-10,471.5812609376121,488.7161250791051,458.41969862603054,482.5574951171875,544146
2024-05-13,484.8918124206627,486.6301319583991,469.0979438262923,471.0845947265625,311548
2024-05-14,475.8028577270857,482.7561353974189,465.9192580558439,471.13421630859375,321160
2024-05-15,476.49823878261026,485.0408135501591,473.71690928587714,477.0445556640625,302060
2024-05-16,479.4285060802918,490.6034170128714,474.8095489576028,478.4351806640625,555490
2024-05-17,480.52115742126813,481.9614913623485,470.7865807246446,479.52783203125,322480
2024-05-21,477.938502116061,486.2327751294631,473.1705524017346,477.2928466796875,318193
2024-05-22,479.6768324722065,486.7294489172541,474.85919819055454,477.7895202636719,301644
2024-05-23,479.67684238311676,483.749482694451,470.8859062960153,479.0808410644531,271318
2024-05-24,478.7828347340791,482.50780492132554,464.3796166767261,468.7999267578125,535835
2024-05-27,466.8629305370585,468.60124995927094,438.155832998727,440.98681640625,1548041
2024-05-28,440.04315237411953,440.83780056887974,425.1432713682238,427.6762390136719,698363
2024-05-29,437.0631847755345,443.8674699649308,424.1499543162573,433.6361999511719,1582814
2024-05-30,433.63621676544534,434.43089532054626,409.89574437101305,413.1737365722656,1204521
2024-05-31,415.210036662811,436.8645192723023,413.76970263974164,428.7192687988281,1788606
