Ticker,Sector,Close,Change_1D_pct,Volume_Today,Avg_Vol_20D,Vol_Ratio
FIRSTCRY,Consumer Services,219.08,0.34,587890,2344839,0.25
BRIGADE,Realty,554.6,-1.99,1096610,783418,1.4
BRITANNIA,Fast Moving Consumer Goods,5245.0,0.25,391527,346758,1.13
MAPMYINDIA,Information Technology,890.65,0.11,268402,317102,0.85
CCL,Fast Moving Consumer Goods,1132.4,1.6,195370,696913,0.28
CESC,Power,170.69,0.46,1180563,2176091,0.54
CGPOWER,Capital Goods,954.45,-0.96,3551671,3991948,0.89
CIEINDIA,Automobile and Auto Components,456.3,-0.19,438580,238170,1.84
CRISIL,Financial Services,4121.4,0.73,43193,41507,1.04
CANFINHOME,Financial Services,883.7,0.45,129110,188032,0.69
CANBK,Financial Services,134.97,-0.2,16867241,31570684,0.53
CANHLIFE,Financial Services,141.75,2.58,354916,600203,0.59
CAPLIPOINT,Healthcare,2359.4,1.05,56118,199867,0.28
CGCL,Financial Services,220.81,1.62,2873917,3106087,0.93
CARBORUNIV,Capital Goods,1192.2,5.48,2071000,304344,6.8
CARTRADE,Consumer Services,2585.0,-1.14,1241912,1675078,0.74
CASTROLIND,Oil Gas & Consumable Fuels,184.57,0.04,1203036,990980,1.21
CEATLTD,Automobile and Auto Components,3486.7,-0.01,123455,119738,1.03
CEMPRO,Construction,1192.4,0.71,378620,909775,0.42
CENTRALBK,Financial Services,33.1,-2.27,19844898,25294084,0.78
CDSL,Financial Services,1350.4,4.61,9897619,1783514,5.55
CHALET,Consumer Services,776.65,-0.56,75478,159765,0.47
CHAMBLFERT,Chemicals,482.05,-0.63,643085,1224640,0.53
CHENNPETRO,Oil Gas & Consumable Fuels,1119.4,-3.92,1242510,1162866,1.07
CHOICEIN,Financial Services,707.55,-0.31,507177,631056,0.8
CHOLAHLDNG,Financial Services,1589.3,0.34,65245,207878,0.31
CHOLAFIN,Financial Services,1688.9,0.58,770641,1592905,0.48
CIPLA,Healthcare,1355.5,0.35,908693,1502945,0.6
CUB,Financial Services,198.35,-1.05,2533483,2804873,0.9
CLEAN,Chemicals,781.7,0.39,160142,232547,0.69
