Ticker,Sector,PE_Ratio,EPS_TTM,Market_Cap_Cr,PB_Ratio,ROE_pct,Debt_Equity,Div_Yield,Revenue_Growth,Current_Ratio
INDIGO,Services,,-61.82,174331.0,24.99903,,866.462,24.0,6.2,
IGIL,Services,30.548523,11.85,15644.0,10.5028,,9.594,139.0,20.9,5.041
IKS,Information Technology,39.95982,42.31,28339.0,10.102115,31.44,26.873,0.0,18.5,1.35
IPCALAB,Healthcare,35.922546,44.93,40948.0,5.07718,13.22,8.492,39.0,10.4,2.764
JBCHEPHARM,Healthcare,47.937542,44.51,34258.0,8.23673,18.69,0.086,87.0,-4.8,4.921
JKCEMENT,Construction Materials,38.35659,128.27,38016.0,5.4027286,15.03,87.203,31.0,8.5,0.93
JBMA,Automobile and Auto Components,74.978355,9.24,16384.0,11.535707,15.99,190.282,13.0,12.3,1.104
JKTYRE,Automobile and Auto Components,14.148623,27.25,11115.0,2.0160742,14.05,80.551,78.0,12.4,1.344
JMFINANCIL,Financial Services,9.656573,12.55,11591.0,1.127244,,104.102,322.0,31.4,
JSWCEMENT,Construction Materials,,-6.2,17047.0,2.6010969,-17.95,68.39,0.0,10.9,0.724
JSWDULUX,Consumer Durables,7.1036906,,14018.0,5.7181973,,,0.0,,
JSWENERGY,Power,46.24216,12.76,108116.0,3.3630087,8.82,229.16,34.0,41.0,0.762
JSWINFRA,Services,37.52407,7.27,56860.0,5.2191544,13.95,59.002,30.0,17.9,2.27
JSWSTEEL,Metals & Mining,14.25863,91.25,317551.0,3.1739566,27.26,94.155,54.0,14.2,1.491
JAINREC,Metals & Mining,34.394234,10.4,12344.0,8.489782,28.67,81.887,0.0,76.4,1.802
JPPOWER,Power,38.857143,0.49,13049.0,1.9400856,3.6,26.634,0.0,3.4,2.697
J&KBANK,Financial Services,6.8944907,21.42,16262.0,0.9858543,15.37,,145.0,,
JINDALSAW,Capital Goods,17.07157,15.23,16578.0,1.3175966,7.96,38.19,80.0,-8.2,1.612
JSL,Metals & Mining,17.994576,38.72,57409.0,12.754682,17.41,37.523,44.0,11.2,1.251
JINDALSTEL,Metals & Mining,36.201996,33.07,121814.0,2.452098,6.77,43.613,17.0,23.0,1.253
JIOFIN,Financial Services,97.41322,2.42,155662.0,1.1149473,1.21,16.286,21.0,39.4,234.532
JUBLFOOD,Consumer Services,76.024734,5.66,28300.0,12.373475,16.89,2.655,28.0,20.3,0.368
JUBLINGREA,Chemicals,35.577805,17.48,9808.0,3.1436083,9.18,25.328,79.0,12.1,1.286
JUBLPHARMA,Healthcare,38.73504,25.06,15375.0,2.1643353,5.96,50.943,51.0,18.7,1.619
JWL,Capital Goods,69.788025,4.01,11960.0,4.244203,,33.365,69.0,-24.4,
JYOTICNC,Capital Goods,40.514904,14.76,13600.0,6.7996273,18.22,42.609,0.0,8.4,2.256
KPRMILL,Textiles,43.604744,25.3,37787.0,7.0504622,,6.46,54.0,-4.0,
KEI,Capital Goods,55.12073,96.08,50630.0,7.5963597,14.75,3.796,9.0,18.7,2.963
KPITTECH,Information Technology,33.17597,23.3,21043.0,5.942862,19.73,23.624,107.0,12.0,1.03
KAJARIACER,Consumer Durables,43.084183,25.42,17444.0,5.6894393,16.5,7.302,108.0,12.4,2.972
KPIL,Construction,21.198488,60.91,22050.0,2.8361628,14.51,45.814,70.0,10.1,1.251
KALYANKJIL,Consumer Durables,27.72588,13.06,37396.0,5.9204397,24.31,96.966,42.0,66.9,1.299
KARURVYSYA,Financial Services,10.937983,25.96,27447.0,2.1441355,19.28,,75.0,19.5,
KAYNES,Capital Goods,58.73527,54.32,21387.0,4.6016717,9.57,19.168,0.0,26.2,2.227
KEC,Construction,22.24956,22.76,13480.0,2.1891751,10.52,87.306,110.0,-7.0,1.233
KFINTECH,Financial Services,42.455223,20.1,14730.0,8.806411,22.31,3.314,90.0,27.7,3.304
KIRLOSENG,Capital Goods,49.856815,39.11,28348.0,8.3996,16.82,150.325,34.0,20.7,1.392
KOTAKBANK,Financial Services,19.67509,19.39,379458.0,2.0947382,11.39,,13.0,-11.0,
KIMS,Healthcare,126.42975,6.05,30607.0,13.646013,9.72,166.226,0.0,34.8,0.757
LTF,Financial Services,22.430614,11.89,66822.0,2.5290408,11.12,393.442,103.0,31.9,2.247
LTTS,Information Technology,28.256477,115.8,34707.0,5.35845,19.54,8.911,176.0,-4.2,2.277
LGEINDIA,Consumer Durables,60.638557,24.9,102488.0,13.364194,24.72,5.99,0.0,8.1,2.081
LICHSGFIN,Financial Services,5.3558803,101.86,30009.0,0.72444427,14.41,642.522,185.0,4.4,27.056
LTFOODS,Fast Moving Consumer Goods,21.384573,18.02,13381.0,7.5078907,14.94,28.488,105.0,23.8,1.763
LTM,Information Technology,24.069231,169.0,120592.0,5.018779,21.29,9.582,185.0,6.1,2.831
LT,Construction,33.690285,117.01,542302.0,4.9619246,16.95,97.64,96.0,11.7,1.251
LATENTVIEW,Information Technology,32.052357,9.55,6334.0,3.6077554,12.17,1.863,0.0,26.1,4.054
LAURUSLABS,Healthcare,91.37003,15.62,77067.0,14.539083,17.74,46.369,17.0,5.3,1.328
THELEELA,Consumer Services,33.620274,12.43,13956.0,2.1638722,8.01,28.065,0.0,8.2,1.02
LEMONTREE,Consumer Services,38.696865,2.87,8794.0,6.293064,14.9,96.367,0.0,10.3,1.214
LENSKART,Consumer Services,177.52594,2.89,88713.0,13.529085,6.65,34.983,0.0,45.6,2.261
LICI,Financial Services,8.778903,45.41,504292.0,2.0703497,42.36,,248.0,14.8,5.95
LINDEINDIA,Chemicals,109.241234,64.71,60287.0,15.782293,,,6.0,13.1,
LLOYDSME,Metals & Mining,26.551517,66.87,99882.0,7.203746,36.95,145.214,6.0,405.5,0.812
LODHA,Realty,25.714493,34.29,88079.0,3.7824516,15.71,42.238,48.0,7.6,1.749
LUPIN,Healthcare,19.319881,116.45,102864.0,4.579401,26.91,29.388,53.0,31.9,1.899
MMTC,Services,26.476744,2.58,10246.0,5.3213367,,1.796,0.0,36.0,
MRF,Automobile and Auto Components,21.820948,5715.38,52893.0,2.5217946,12.29,15.288,19.0,13.4,1.645
MGL,Oil Gas & Consumable Fuels,12.614771,85.17,10613.0,1.651145,13.63,3.461,278.0,4.5,0.938
M&MFIN,Financial Services,13.856663,20.86,40165.0,1.505657,11.86,428.025,258.0,40.3,9.568
M&M,Automobile and Auto Components,19.834934,152.06,362162.0,3.6202557,18.75,125.066,110.0,30.9,1.267
MANAPPURAM,Financial Services,26.572649,11.7,29204.0,1.6403822,6.97,360.191,64.0,109.3,94.116
MRPL,Oil Gas & Consumable Fuels,14.261385,10.98,27444.0,1.9259578,14.17,108.059,259.0,-3.4,1.143
MANKIND,Healthcare,50.919716,46.21,97158.0,6.3549423,12.45,38.111,8.0,11.8,1.069
MARICO,Fast Moving Consumer Goods,59.930298,13.63,105849.0,24.955702,41.39,12.394,49.0,22.1,1.31
MARUTI,Automobile and Auto Components,27.975502,466.98,410736.0,3.8330328,14.43,0.096,107.0,28.2,1.068
MFSL,Financial Services,632.6,2.5,54316.0,19.843412,1.63,12.673,0.0,-40.2,0.825
MAXHEALTH,Healthcare,65.41638,14.77,94035.0,8.740965,14.33,32.367,16.0,12.2,0.889
MAZDOCK,Capital Goods,38.218193,63.98,98634.0,10.111277,28.77,4.481,79.0,21.3,1.404
MEESHO,Consumer Services,,-3.1,76028.0,17.417044,-46.56,1.428,0.0,47.1,1.554
MINDACORP,Automobile and Auto Components,42.735096,15.1,15188.0,5.7501583,14.74,55.348,26.0,29.0,0.941
MSUMI,Automobile and Auto Components,40.74468,0.94,25399.0,11.857585,32.39,10.786,288.0,33.1,1.617
MOTILALOFS,Financial Services,26.216135,32.85,51848.0,4.0071096,15.55,164.419,129.0,152.3,5.632
MPHASIS,Information Technology,24.561459,94.29,44191.0,4.340874,18.29,24.383,271.0,14.4,1.376
MCX,Financial Services,55.494823,52.14,73644.0,17.500196,37.88,0.113,21.0,200.0,1.31
MUTHOOTFIN,Financial Services,12.010989,263.9,127253.0,3.2520652,30.41,379.707,93.0,53.7,128.286
NATCOPHARM,Healthcare,11.592429,79.25,16455.0,1.9025431,16.85,7.742,70.0,-39.6,3.006
NBCC,Construction,38.981274,2.67,28102.0,9.355506,25.23,0.008,67.0,-2.5,1.177
NCC,Construction,13.655204,10.76,9225.0,1.2264096,9.32,43.056,149.0,1.7,1.362
NHPC,Power,27.480146,2.77,76463.0,1.8483804,9.02,113.111,254.0,19.2,0.944
NLCINDIA,Power,13.330709,25.4,46952.0,2.1811109,15.97,82.0,208.0,-0.3,0.803
NMDC,Metals & Mining,11.180636,8.47,83259.0,2.4398413,23.36,18.802,364.0,61.9,2.429
NSLNISP,Metals & Mining,253.6,0.2,14864.0,1.1460334,,40.766,0.0,41.9,
NTPCGREEN,Power,162.64516,0.62,84971.0,4.6119366,2.76,165.281,0.0,46.7,0.236
NTPC,Power,12.036794,30.44,355286.0,1.7493936,13.69,118.127,309.0,8.0,0.825
NH,Healthcare,48.96257,39.81,39588.0,8.727539,19.84,129.033,23.0,75.8,2.152
NATIONALUM,Metals & Mining,12.387793,33.42,76037.0,3.51963,29.42,0.277,183.0,1.0,3.604
NAVA,Power,21.661278,27.84,17066.0,2.109031,10.31,20.684,149.0,12.2,7.59
NAVINFLUOR,Chemicals,54.475258,130.16,36364.0,9.142096,20.11,31.997,21.0,33.8,2.608
NESTLEIND,Fast Moving Consumer Goods,76.44555,18.09,266667.0,51.710728,76.34,8.613,86.0,23.8,0.964
NETWEB,Information Technology,136.19101,36.23,28096.0,38.742756,32.83,39.019,5.0,86.6,1.443
NEULANDLAB,Healthcare,59.414318,283.77,21631.0,11.540712,,16.072,20.0,136.4,1.424
NEWGEN,Information Technology,23.544333,21.09,7009.0,3.9282155,18.25,2.214,116.0,5.3,3.663
NAM-INDIA,Financial Services,47.84322,23.6,72091.0,15.436039,34.48,1.617,199.0,19.6,4.201
NIVABUPA,Financial Services,115.14085,0.71,15105.0,4.2158732,10.65,9.883,0.0,26.8,2.612
NUVAMA,Financial Services,27.93011,56.09,28552.0,7.4463835,27.32,282.325,180.0,6.2,9.634
NUVOCO,Construction Materials,32.052685,10.06,11517.0,1.1259044,3.74,48.061,0.0,8.7,0.447
OBEROIRLTY,Realty,23.674744,68.93,59336.0,3.5444496,14.91,15.765,49.0,52.1,3.991
ONGC,Oil Gas & Consumable Fuels,8.12481,32.93,336585.0,0.9054145,12.7,42.548,691.0,1.9,0.84
OIL,Oil Gas & Consumable Fuels,12.012284,40.7,79525.0,1.3709346,12.74,58.741,387.0,5.2,1.089
OLAELEC,Automobile and Auto Components,,-4.16,18186.0,5.720322,-43.16,82.453,0.0,-56.6,1.141
OLECTRA,Automobile and Auto Components,60.973698,21.67,10845.0,9.658343,,32.542,3.0,28.8,
PAYTM,Financial Services,124.52941,8.5,67780.0,4.2344913,3.56,1.073,0.0,18.4,2.546
ONESOURCE,Healthcare,,-6.52,21071.0,3.5474944,-1.26,25.791,0.0,1.0,0.989
OFSS,Information Technology,33.445946,301.92,87918.0,11.228172,32.61,0.415,665.0,20.3,5.435
POLICYBZR,Financial Services,105.805786,14.52,71161.0,9.710205,9.74,4.922,0.0,36.7,4.411
PCBL,Chemicals,57.23633,5.12,11530.0,2.8864527,5.12,124.132,206.0,-1.0,0.827
PGEL,Consumer Durables,71.12554,6.93,14071.0,5.2080474,6.69,19.567,5.0,-10.1,1.462
PIIND,Chemicals,31.092098,87.08,41074.0,3.6564465,12.35,3.048,55.0,-12.4,4.218
PNBHOUSING,Financial Services,11.385282,87.78,26043.0,1.3548578,12.7,277.418,50.0,21.6,4.982
PTCIL,Capital Goods,274.37967,68.11,28018.0,19.777733,,12.655,0.0,132.4,
PVRINOX,Media Entertainment & Publication,54.211548,18.01,9588.0,1.3474424,2.44,91.874,0.0,23.8,0.473
PAGEIND,Textiles,56.80289,683.68,43316.0,28.827568,52.5,18.422,160.0,14.1,1.725
PARADEEP,Chemicals,13.156576,9.58,13085.0,1.9276297,18.36,101.822,79.0,34.6,1.147
PATANJALI,Fast Moving Consumer Goods,25.660662,16.65,46480.0,3.8370693,,23.903,77.0,15.2,
PERSISTENT,Information Technology,43.12116,118.77,80014.0,10.222738,26.35,6.092,86.0,25.1,2.427
PETRONET,Oil Gas & Consumable Fuels,10.316334,26.08,40358.0,1.8106384,18.56,10.507,370.0,-23.3,5.67
PFIZER,Healthcare,27.975708,158.08,20231.0,5.256995,17.16,1.671,168.0,6.3,6.061
PHOENIXLTD,Realty,49.32116,35.06,61843.0,5.626946,11.06,37.211,15.0,33.7,0.87
PWL,Consumer Services,,-0.08,30444.0,6.783484,-0.79,23.018,0.0,50.7,2.904
PIDILITIND,Chemicals,61.423798,23.95,149725.0,13.825997,23.52,3.776,68.0,14.1,2.38
PINELABS,Financial Services,139.45099,1.02,16333.0,3.8141208,2.39,7.474,0.0,-34.3,1.515
PIRAMALFIN,Financial Services,29.70677,66.16,44419.0,1.5797969,6.72,283.736,57.0,-24.7,134.693
PPLPHARMA,Healthcare,,-2.46,22465.0,2.6176622,-4.0,69.519,8.0,-0.1,1.511
POLYMED,Healthcare,44.26591,31.74,14258.0,4.584941,10.85,11.227,26.0,21.3,3.374
POLYCAB,Capital Goods,54.879425,177.07,146297.0,12.182754,24.58,2.558,37.0,26.9,1.841
POONAWALLA,Financial Services,57.59151,6.83,34444.0,3.0745602,5.85,470.362,0.0,67.4,11271.427
PFC,Financial Services,5.407696,78.49,140073.0,1.0542015,20.47,586.017,350.0,-15.4,287.366
POWERGRID,Power,14.145129,20.12,264695.0,2.6329668,16.49,150.993,430.0,-5.0,0.625
PREMIERENE,Capital Goods,32.029716,33.65,48641.0,11.272055,42.33,86.005,14.0,37.6,1.833
PRESTIGE,Realty,48.946613,27.72,58441.0,3.5891237,8.0,105.493,13.0,166.5,1.148
PNB,Financial Services,6.604375,16.0,121446.0,0.80978763,12.98,,284.0,15.2,
RRKABEL,Capital Goods,51.044777,43.55,25143.0,9.766063,20.83,13.092,51.0,33.6,1.651
RBLBANK,Financial Services,25.088652,14.1,21902.0,1.3074201,,,33.0,40.8,
RECLTD,Financial Services,5.423071,61.81,88266.0,1.0570798,19.96,607.463,712.0,-14.4,282.504
RHIM,Capital Goods,,-18.53,8284.0,2.0683165,-10.13,12.595,66.0,4.3,2.754
RITES,Construction,23.47245,8.53,9623.0,3.594614,16.4,0.236,380.0,24.8,1.673
RADICO,Fast Moving Consumer Goods,77.77926,45.03,46908.0,14.136317,,20.939,15.0,19.5,
RVNL,Construction,56.16627,4.21,49302.0,5.17928,8.98,49.078,114.0,4.2,1.905
RAILTEL,Telecommunication,31.752527,9.9,10089.0,4.457537,16.25,2.817,121.0,27.6,1.32
RAINBOW,Healthcare,49.250458,27.35,13664.0,8.296276,17.94,53.558,26.0,24.3,3.593
RKFORGE,Automobile and Auto Components,142.80457,3.94,10211.0,3.0956,2.27,74.422,36.0,28.5,1.148
REDINGTON,Services,12.955427,19.07,19315.0,1.903126,13.09,27.26,248.0,25.1,1.413
RELIANCE,Oil Gas & Consumable Fuels,21.819246,59.75,1764228.0,1.9515152,9.14,36.653,46.0,12.5,1.098
RPOWER,Power,,-0.82,11328.0,0.70632833,-2.08,92.348,0.0,-4.6,0.463
SBFC,Financial Services,22.763416,4.1,10328.0,2.9658701,13.04,192.253,0.0,24.4,544.534
SBICARD,Financial Services,25.866608,22.79,56097.0,3.5688775,14.69,280.206,42.0,18.6,19.959
SBILIFE,Financial Services,71.68562,24.62,177050.0,9.277522,13.7,,15.0,-82.2,1.55
SJVN,Power,45.23313,1.63,28974.0,1.9953452,4.51,226.528,199.0,196.7,0.719
SRF,Chemicals,43.99161,61.98,80818.0,5.7568755,13.76,36.195,37.0,7.0,1.103
SAGILITY,Information Technology,20.262625,1.98,18781.0,2.1347237,,13.851,23.0,35.7,
SAILIFE,Healthcare,70.775345,16.38,24591.0,9.868903,15.13,11.614,0.0,3.9,1.692
SAMMAANCAP,Financial Services,,-87.71,20986.0,0.78825027,-35.01,273.033,0.0,,157.636
MOTHERSON,Automobile and Auto Components,39.536983,3.65,151976.0,4.120553,10.11,43.908,34.0,14.9,1.06
SAPPHIRE,Consumer Services,,-0.99,5820.0,4.204067,-2.3,102.058,0.0,11.4,0.629
SARDAEN,Metals & Mining,16.949045,31.4,18754.0,2.5465944,16.0,35.204,29.0,-0.6,4.501
SAREGAMA,Media Entertainment & Publication,42.180805,10.73,8688.0,5.230012,12.57,4.281,195.0,23.2,1.749
SCHAEFFLER,Automobile and Auto Components,51.40689,77.76,62481.0,10.33088,,0.904,86.0,20.9,
SCHNEIDER,Capital Goods,125.118385,8.87,26536.0,40.2802,31.81,70.795,0.0,0.5,1.73
SCI,Services,10.476928,29.04,14172.0,1.6616513,,29.454,431.0,14.2,0.645
SHREECEM,Construction Materials,50.68204,483.11,88344.0,9.587729,,38.149,65.0,5.2,
SHRIRAMFIN,Financial Services,17.207815,53.22,215472.0,2.6133084,16.38,274.993,151.0,16.7,4.208
SHYAMMETL,Capital Goods,26.424051,37.92,27884.0,2.544471,8.97,8.133,46.0,26.6,0.997
ENRIN,Capital Goods,100.377,36.87,131797.0,27.390335,,4.483,11.0,27.4,2.064
SIEMENS,Capital Goods,77.65164,47.48,131298.0,9.479915,,2.213,39.0,14.6,2.57
SIGNATURE,Realty,10.432186,77.86,11413.0,15.700506,84.88,161.04,0.0,112.8,1.156
SOBHA,Realty,74.0221,18.1,14330.0,3.0347235,4.17,22.403,43.0,60.2,1.14
SOLARINDS,Chemicals,98.47122,185.77,165533.0,26.369808,31.33,23.271,6.0,40.9,2.057
SONACOMS,Automobile and Auto Components,58.250973,10.32,37393.0,6.5400686,10.69,7.213,60.0,45.4,3.4
SONATSOFTW,Information Technology,15.818398,16.74,7330.0,3.8512437,25.72,37.962,305.0,-3.1,1.053
STARHEALTH,Financial Services,55.45311,9.49,30965.0,4.070055,,,0.0,13.8,
SBIN,Financial Services,10.745639,91.13,903908.0,1.5268312,15.48,,179.0,7.1,
SAIL,Metals & Mining,24.121025,8.18,81499.0,1.4036124,,57.763,78.0,11.8,
SUMICHEM,Chemicals,43.563538,10.86,23615.0,7.388378,17.24,1.865,25.0,0.6,3.444
SUNPHARMA,Healthcare,37.27958,47.75,427106.0,5.4863124,14.72,5.517,92.0,12.8,2.824
SUNTV,Media Entertainment & Publication,13.993985,36.58,20173.0,1.6322093,11.85,0.837,97.0,-9.6,7.8
SUNDARMFIN,Financial Services,21.966381,186.79,45222.0,2.9889421,14.66,408.126,96.0,10.0,8.233
SUPREMEIND,Capital Goods,48.551247,75.03,46293.0,7.5008597,16.13,1.473,101.0,16.5,2.2
SPLPETRO,Chemicals,40.15411,17.52,13229.0,5.9565134,14.32,5.61,149.0,4.8,2.014
SUZLON,Capital Goods,24.077923,2.31,76411.0,9.735691,40.64,5.873,0.0,44.9,1.649
SWANCORP,Chemicals,36.591434,8.64,9910.0,0.8582194,2.99,22.877,5.0,76.3,1.907
SWIGGY,Consumer Services,,-16.88,66103.0,3.3173776,-29.12,13.929,0.0,44.7,3.348
SYNGENE,Healthcare,55.20279,7.89,17503.0,3.6173747,6.62,9.473,29.0,1.8,1.38
SYRMA,Capital Goods,71.985855,16.97,23531.0,8.098808,14.14,13.045,13.0,58.4,1.7
TBOTEK,Consumer Services,53.57895,22.8,13045.0,9.420112,17.79,48.762,0.0,82.5,1.079
TVSMOTOR,Automobile and Auto Components,52.803078,63.68,159795.0,47.82188,31.62,306.09,36.0,31.3,0.981
TATACAP,Financial Services,26.485107,11.75,131223.0,3.4474356,12.01,502.058,0.0,7.0,105.658
TATACHEM,Chemicals,,-74.42,18355.0,0.82175314,-7.68,36.081,153.0,-2.0,1.069
TATACOMM,Telecommunication,54.33379,36.55,56598.0,19.883856,31.13,335.485,91.0,9.4,0.49
TCS,Information Technology,16.469463,136.07,810813.0,7.143153,48.4,10.389,553.0,9.6,2.228
TATACONSUM,Fast Moving Consumer Goods,73.86247,15.56,113739.0,5.594797,6.94,12.159,87.0,17.9,1.568
TATAELXSI,Information Technology,42.58999,100.85,26758.0,8.798305,21.3,5.336,173.0,5.8,3.921
TATAINVEST,Financial Services,77.698135,8.58,33729.0,1.1557252,1.44,,51.0,153.9,778.713
TMCV,Capital Goods,45.3949,8.23,137578.0,10.801746,26.05,44.095,107.0,19.4,0.758
TMPV,Automobile and Auto Components,,-4.42,147187.0,1.3294086,-1.12,65.31,75.0,-11.8,0.844
TATAPOWER,Power,35.141148,11.69,131265.0,3.4672225,11.34,167.811,61.0,-12.8,0.806
TATASTEEL,Metals & Mining,24.343355,8.65,262620.0,2.7626245,11.16,89.016,189.0,12.5,0.748
TATATECH,Information Technology,55.639404,13.45,30387.0,8.511715,14.57,23.908,114.0,22.3,1.532
TTML,Telecommunication,,-1.1,8637.0,-0.43243772,,,0.0,-4.1,0.01
TECHM,Information Technology,27.45109,54.18,131733.0,4.452421,16.61,7.269,346.0,12.6,1.902
TECHNOE,Construction,26.239294,38.53,11758.0,3.020778,11.36,1.744,86.0,23.8,4.064
TEGA,Capital Goods,90.97182,20.58,14065.0,4.1280255,5.94,11.693,11.0,5.1,4.715
TEJASNET,Telecommunication,,-51.35,10684.0,3.6475186,-26.82,142.52,44.0,-82.6,1.199
TENNIND,Automobile and Auto Components,38.93909,14.94,,25.58605,,2.447,0.0,14.2,
NIACL,Financial Services,17.700117,8.57,24999.0,0.64742064,3.42,,102.0,13.7,0.432
RAMCOCEM,Construction Materials,29.661934,29.58,20732.0,2.5604959,9.0,47.827,29.0,8.9,0.543
THERMAX,Capital Goods,76.055214,64.11,54926.0,9.899038,13.69,42.166,29.0,11.1,1.221
TIMKEN,Capital Goods,64.73265,55.17,26863.0,9.708682,14.41,0.5,103.0,16.0,2.966
TITAGARH,Capital Goods,95.46961,9.05,11636.0,4.781988,4.92,25.363,12.0,-11.8,1.813
TITAN,Consumer Durables,73.91684,57.24,375309.0,23.920849,37.13,195.001,27.0,80.5,1.276
TORNTPHARM,Healthcare,68.04484,63.78,146882.0,17.39669,16.99,85.446,87.0,41.8,1.126
TORNTPOWER,Power,30.00625,47.99,72562.0,3.857973,13.02,70.885,139.0,-0.8,0.951
TARIL,Capital Goods,35.986397,8.82,9527.0,7.080554,19.33,29.595,6.0,15.7,1.815
TRAVELFOOD,Consumer Services,38.49446,33.41,16935.0,14.302873,35.7,16.722,0.0,25.7,1.91
TRENT,Consumer Services,87.68851,32.36,151310.0,14.44255,27.13,36.034,21.0,19.2,1.264
TRIDENT,Textiles,32.878376,0.74,12398.0,2.6610522,8.03,38.323,414.0,-12.4,1.574
TRITURBINE,Capital Goods,63.20875,10.97,22043.0,15.222499,26.22,2.476,60.0,26.3,1.979
TIINDIA,Automobile and Auto Components,94.31963,32.85,59973.0,7.9711037,,27.724,16.0,20.7,
UCOBANK,Financial Services,11.343891,2.21,31437.0,0.9470026,8.63,,175.0,-12.6,
UNOMINDA,Automobile and Auto Components,52.082733,20.79,62528.0,10.009336,19.2,37.74,24.0,17.8,1.199
UPL,Chemicals,28.674294,22.29,54026.0,1.5549053,5.61,57.128,93.0,17.7,1.217
UTIAMC,Financial Services,29.557888,31.44,11944.0,2.7150366,9.78,3.129,281.0,6.7,1.817
ULTRACEMCO,Construction Materials,39.624546,277.53,323498.0,4.4906077,10.59,29.432,70.0,3.0,0.746
UNIONBANK,Financial Services,6.541241,25.46,127130.0,0.9526206,15.71,,300.0,,
UBL,Fast Moving Consumer Goods,86.14158,15.68,35713.0,8.219936,9.29,29.076,75.0,-3.1,1.237
UNITDSPR,Fast Moving Consumer Goods,51.81177,24.12,90903.0,10.56132,20.03,4.611,135.0,0.8,2.053
URBANCO,Consumer Services,,-1.57,18037.0,8.078056,-11.92,6.335,0.0,42.4,4.511
USHAMART,Capital Goods,32.225666,16.13,15823.0,4.797327,16.23,6.922,60.0,9.3,3.278
VTL,Textiles,24.134504,26.17,18271.0,1.770492,7.33,17.52,81.0,-0.4,4.152
VBL,Fast Moving Consumer Goods,56.272633,9.39,178721.0,9.127499,,12.705,37.0,18.1,
VEDL,Metals & Mining,18.245125,17.95,127882.0,3.181836,20.4,48.044,1036.0,-41.3,5.312
VIJAYA,Healthcare,81.10979,16.76,13988.0,16.15583,19.7,44.15,16.0,26.6,2.599
VMM,Consumer Services,66.06704,1.79,55303.0,7.913015,12.15,26.817,0.0,22.2,1.601
IDEA,Telecommunication,4.65109,3.21,161756.0,-4.5201335,,,0.0,3.2,0.551
VOLTAS,Consumer Durables,113.248245,11.36,42568.0,6.7246523,5.72,15.51,32.0,2.5,1.367
WAAREEENER,Capital Goods,23.823782,128.93,88355.0,6.116313,31.57,21.402,13.0,111.8,1.383
WELCORP,Capital Goods,22.91619,61.21,36990.0,4.5228543,18.92,25.042,35.0,9.9,1.33
WELSPUNLIV,Textiles,67.420555,2.14,13791.0,2.9847534,4.3,46.501,7.0,-8.0,1.584
WHIRLPOOL,Consumer Durables,34.915806,23.16,10263.0,1.2567333,7.25,8.621,61.0,8.8,2.034
WIPRO,Information Technology,16.280478,12.55,214339.0,2.3865814,15.44,22.853,833.0,7.7,2.049
WOCKPHARMA,Healthcare,158.59984,13.07,33683.0,7.360314,4.0,42.284,0.0,26.0,1.663
YESBANK,Financial Services,20.330357,1.12,71466.0,1.4456224,7.09,,0.0,19.8,
ZFCVINDIA,Automobile and Auto Components,53.58166,272.22,27666.0,7.496415,14.98,,3.0,32.7,5.301
ZEEL,Media Entertainment & Publication,37.02837,2.82,10030.0,0.8728433,2.33,2.26,257.0,-7.3,5.594
ZENTEC,Capital Goods,84.412315,21.44,16276.0,9.0562,11.83,0.95,6.0,-45.2,8.857
ZENSARTECH,Information Technology,14.293559,33.69,10917.0,2.3132646,,1.68,263.0,6.7,
ZYDUSLIFE,Healthcare,21.666,50.06,109136.0,4.3126616,18.32,42.242,9.0,16.2,1.267
ZYDUSWELL,Fast Moving Consumer Goods,81.14078,6.18,15954.0,2.7953532,3.43,54.974,24.0,62.6,1.876
ECLERX,Services,18.91427,74.42,13117.0,5.0836987,29.0,15.012,3.0,23.3,3.405
