Ticker,Sector,PE_Ratio,EPS_TTM,Market_Cap_Cr,PB_Ratio,ROE_pct,Debt_Equity,Div_Yield,Revenue_Growth,Current_Ratio
BLS,Consumer Services,15.83584,16.63,10842.0,4.3997264,30.14,15.468,111.0,17.6,2.914
BSE,Financial Services,66.91108,60.28,163808.0,20.834108,36.0,0.0,25.0,105.1,1.53
BAJAJ-AUTO,Automobile and Auto Components,26.934574,384.71,289381.0,7.453497,28.05,56.289,146.0,48.8,1.761
BAJFINANCE,Financial Services,28.659456,30.51,543691.0,4.7684493,17.91,313.407,62.0,26.8,7.201
BAJAJFINSV,Financial Services,28.006554,61.05,273313.0,3.5037746,14.6,256.36,7.0,5.3,2.651
BAJAJHLDNG,Financial Services,11.69197,866.15,112707.0,1.540554,12.62,0.012,157.0,-48.3,3.446
BAJAJHFL,Financial Services,27.172638,3.07,69478.0,3.0982358,12.06,460.504,0.0,42.3,298.596
BALKRISIND,Automobile and Auto Components,34.115173,64.25,42373.0,3.8679814,,35.269,75.0,6.9,
BALRAMCHIN,Fast Moving Consumer Goods,28.612904,18.6,10748.0,2.5977197,9.54,76.606,132.0,6.7,1.126
BANDHANBNK,Financial Services,27.03158,7.6,33097.0,1.292368,4.88,,72.0,119.3,
BANKBARODA,Financial Services,7.066944,38.39,140299.0,0.8456297,12.74,,316.0,-7.6,
BANKINDIA,Financial Services,5.876735,23.77,63596.0,0.7071336,12.06,,332.0,10.1,
MAHABANK,Financial Services,8.760965,9.12,61456.0,1.8487239,22.66,,276.0,38.2,
BATAINDIA,Consumer Durables,62.923447,10.45,8451.0,5.548758,,86.9,135.0,5.0,
BAYERCROP,Chemicals,28.701967,153.54,19806.0,6.6779404,23.7,2.758,284.0,5.1,1.916
BELRISE,Automobile and Auto Components,37.134018,5.82,19232.0,3.5471375,12.52,29.1,25.0,12.1,1.973
BERGEPAINT,Consumer Durables,51.111687,9.67,57630.0,8.335723,17.23,9.165,77.0,6.1,2.115
BDL,Capital Goods,106.29273,11.41,44457.0,10.54068,10.19,0.007,42.0,-73.0,2.01
BEL,Capital Goods,49.445114,8.29,299628.0,12.490477,27.56,0.273,107.0,11.7,1.976
BHARATFORG,Automobile and Auto Components,86.26447,22.46,92630.0,9.678112,11.6,76.475,41.0,17.5,1.169
BHEL,Capital Goods,84.79303,4.59,135522.0,5.1776667,6.29,31.312,12.0,36.9,1.593
BPCL,Oil Gas & Consumable Fuels,4.8793187,60.49,126105.0,1.2593174,28.47,54.332,685.0,6.7,0.794
BHARTIARTL,Telecommunication,41.030903,44.33,1107978.0,7.1337805,19.36,99.718,88.0,15.7,0.517
BHARTIHEXA,Telecommunication,42.906944,34.71,74465.0,10.392592,26.47,85.654,67.0,5.4,0.376
BIKAJI,Fast Moving Consumer Goods,62.55814,10.32,16188.0,10.072391,15.96,17.531,19.0,17.5,2.467
GROWW,Financial Services,55.929413,3.4,117739.0,12.180374,28.72,3.028,0.0,83.5,1.551
BIOCON,Healthcare,148.58928,2.8,67372.0,1.9483194,1.15,42.145,12.0,2.3,1.221
BSOFT,Information Technology,17.563478,18.51,9086.0,2.217826,13.66,3.422,198.0,2.4,4.294
BLUEDART,Services,45.311058,104.16,11199.0,6.3018413,14.83,,53.0,8.0,1.036
BLUEJET,Healthcare,33.2355,14.31,8250.0,6.0654755,19.88,3.102,27.0,-31.1,4.208
BLUESTARCO,Consumer Durables,62.77235,25.61,33051.0,9.626405,16.22,23.588,54.0,1.3,1.313
BBTC,Fast Moving Consumer Goods,8.363086,178.14,10395.0,1.4760975,28.71,16.57,228.0,7.8,1.189
