Date,Open,High,Low,Close,Volume
2024-04-10,1868.5041907271348,1872.8889715575228,1838.9568867949547,1852.6094970703125,26598
2024-04-12,1857.542229579933,1863.4715673297703,1825.7029680269425,1835.419189453125,24397
2024-04-15,1800.7396063294525,1831.2834430186429,1759.1841256115777,1814.9901123046875,54860
2024-04-16,1804.8254799428648,1853.5560918483588,1804.8254799428648,1844.93603515625,33300
2024-04-18,1852.5594979434472,1975.0834892372288,1844.5872139286287,1935.7203369140625,360580
2024-04-19,1928.3958798593264,1953.8075358754572,1889.1323556460986,1915.44091796875,70723
2024-04-22,1914.3945959016153,1936.7667695094347,1886.4417261030922,1895.9088134765625,64494
2024-04-23,1911.3550728112893,2032.8825273480215,1902.386253387253,2024.162841796875,419889
2024-04-24,2052.3149977621106,2052.763390080542,2003.2356241253444,2018.482666015625,122271
2024-04-25,2032.882622593325,2033.0321272535434,1974.1369012724724,1982.7569580078125,46455
2024-04-26,1989.084884415105,2061.8319768811884,1974.1368517165947,1991.6260986328125,65508
2024-04-29,2007.8199231643798,2042.8979267103948,1968.1577586600145,2026.7042236328125,100894
2024-04-30,2026.7041154196381,2029.1954542216292,1976.9769686024183,2002.936767578125,61410
2024-05-02,2009.015665305245,2066.8147271047014,1982.9064825996254,2028.198974609375,169191
2024-05-03,2038.9115896699707,2038.9115896699707,1954.2060739700942,1971.346435546875,56344
2024-05-06,1983.1056748688165,1983.1056748688165,1915.3412598481736,1927.8975830078125,53029
2024-05-07,1932.9300949189992,1937.2649999876398,1874.8819024039376,1919.1778564453125,69685
2024-05-08,1906.920638409737,1910.6576466988151,1856.6453472388964,1870.9954833984375,41535
2024-05-09,1873.1380189723784,1883.0534987611054,1778.2677642532935,1797.9493408203125,55638
2024-05-10,1803.6297109647983,1813.5950664354614,1779.8124870604322,1796.803466796875,28527
2024-05-13,1799.593604588244,1972.9410274397612,1744.38551367403,1908.365478515625,316441
2024-05-14,1923.3135965886918,2028.9962395058046,1918.2312896525757,1998.1036376953125,426094
2024-05-15,2000.9436870973125,2026.3553427577435,1968.2572735104245,1983.9029541015625,81663
2024-05-16,1978.8704762188386,2007.9692657346666,1971.8448519046613,1993.3701171875,61557
2024-05-17,1995.8114730444665,2003.036355420985,1972.143754914492,1978.5216064453125,29360
2024-05-21,1944.24087705127,2008.0690283115316,1944.24087705127,1993.6192626953125,50196
2024-05-22,1998.053725948301,2017.9345609964064,1951.2165563126052,1993.6689453125,48841
2024-05-23,1998.0536938729754,2007.6204104218896,1953.2095960055021,1967.3603515625,57241
2024-05-24,1979.0697047018787,1981.5112897604813,1955.2027272056039,1965.516845703125,36954
2024-05-27,1963.175028876101,2000.8938750252798,1953.2096733995725,1968.5064697265625,53787
2024-05-28,1968.1576122258164,1971.0475895048937,1903.3828047348402,1919.427001953125,165250
2024-05-29,1913.3481367468219,1941.3010058410669,1895.0118594401852,1924.1605224609375,38236
2024-05-30,1937.2650895205602,1937.2650895205602,1891.2251962372125,1911.6541748046875,64130
2024-05-31,1938.7597651160124,1943.244174750051,1889.5308883595317,1911.0560302734375,51297
2024-06-03,1963.175003610535,1983.1057143070886,1895.0119486988408,1918.779296875,56101
2024-06-04,1923.3135268399726,1929.2428644425138,1828.7422829783095,1876.277099609375,119339
2024-06-05,1893.4174680709966,1922.1177394038752,1813.6946273101125,1905.1766357421875,52440
