Date,Open,High,Low,Close,Volume
2024-07-22,107.05001063878716,110.75860682936553,105.79955349970746,109.6888198852539,37861868
2024-07-23,109.96934377578324,110.97256652308045,104.29234696105594,109.18008422851562,36828008
2024-07-24,108.40508088142641,111.0201157272503,108.00093623054345,110.5446548461914,13449876
2024-07-25,109.26566262576577,111.01060316806273,106.90738074632287,110.51136779785156,42066324
2024-07-26,111.78085260495729,118.33745476115567,111.78085260495729,117.14405059814453,91609748
2024-07-29,118.38975904625636,123.07305161332211,118.38975904625636,121.8843994140625,57397472
2024-07-30,121.90814912680048,121.90814912680048,119.61167979236701,120.57210540771484,20604924
2024-07-31,120.76706418615142,123.14436859926462,120.24405431328358,122.23623657226562,19254510
2024-08-01,122.8828635620444,122.8828635620444,117.41505648422853,118.9603042602539,35225422
2024-08-02,116.8444986924959,120.45800389381917,116.2263981639858,118.9365234375,20131812
2024-08-05,114.11061521436348,117.81921165982179,114.11061521436348,116.01245880126953,32531304
2024-08-06,116.17886572901135,119.79236396447753,115.1803950065384,115.60830688476562,22140040
2024-08-07,117.1297879298346,118.24711661853053,116.10754270894931,117.58147430419922,10525734
2024-08-08,117.55768914098965,118.6274759986933,116.55921850515034,117.10600280761719,21351714
2024-08-09,117.91428865287503,121.05233310771648,117.5339185288099,120.33914184570312,23197276
2024-08-12,118.8414416965653,120.67196892788635,118.67503474687241,119.83991241455078,18834012
2024-08-13,120.45800717359494,121.36137987104414,119.36444578644924,119.67349243164062,16231708
2024-08-14,119.57840886274067,119.98255350441866,116.82073436441765,117.17733001708984,9291734
2024-08-16,118.41352919036137,122.14589260592383,118.15202426514129,121.69420623779297,22505440
2024-08-19,122.66890566927715,123.69114364787158,121.57534420650533,122.4311752319336,29246356
2024-08-20,122.71644693802631,124.45187611946693,122.12212088205942,123.61981964111328,17247826
2024-08-21,122.88286946268393,124.33301933354534,122.74022249363749,123.73869323730469,7155728
2024-08-22,123.71493045615304,124.76093571728634,123.50096724982932,124.45188903808594,8414120
2024-08-23,124.54697822780554,124.97489010032724,123.12059564612383,123.81000518798828,11549182
2024-08-26,123.6435902334415,124.16660007886264,122.93039894693463,123.6911392211914,9555442
2024-08-27,123.6911376231152,125.83071145499272,122.95417910721173,124.64205932617188,18768088
2024-08-28,124.80846727419045,125.21261187972756,123.61981520491244,123.83377838134766,8795166
2024-08-29,123.61982240525288,124.07151602185297,119.74481933568636,120.67196655273438,21151184
2024-08-30,121.33761245888313,122.95418376833692,119.38822724669092,121.93194580078125,31632590
2024-09-02,122.71644061498182,122.71644061498182,119.0791609869036,119.507080078125,14783796
2024-09-03,119.57840578299596,120.05386664098003,118.84144000212925,119.3406753540039,12636904
2024-09-04,117.81919302390016,119.86367600743182,117.72410231058723,119.10293579101562,10904898
2024-09-05,120.24404377636448,121.12364923411995,119.00784994284697,119.4119873046875,17083868
2024-09-06,119.76859147168663,119.76859147168663,117.15355666003445,117.81920623779297,10130918
2024-09-09,117.84297329686565,117.84297329686565,115.10907343900575,115.96489715576172,12815418
2024-09-10,116.3214953672741,118.77012312546661,116.20263015342854,118.03315734863281,9994230
2024-09-11,118.00938414760512,118.60371022334341,114.18192276885908,114.84757232666016,14661330
2024-09-12,116.2264012480198,117.86673970012352,115.0615236373929,117.03468322753906,19828720
2024-09-13,117.91428715892583,118.1757920693422,116.58299536904342,116.79695129394531,8606488
2024-09-16,116.93959633910038,118.00938326745047,115.67962796991526,115.9173583984375,11744304
2024-09-17,115.91735697994824,116.32149435051645,113.08836636614349,114.49097442626953,10635992
2024-09-18,114.30078155951921,114.30078155951921,111.63820524284087,112.18498229980469,14948232
2024-09-19,113.15968805909684,113.39741849619577,110.80615818280873,112.94573211669922,28415400
2024-09-20,113.15967987144768,113.8966456241228,112.0423439959444,113.08836364746094,20618640
2024-09-23,113.39741040696536,114.11060166738653,111.75707195898802,112.42271423339844,22399168
2024-09-24,112.42271390546536,113.6826894815081,112.37517217454996,112.82685852050781,12205088
2024-09-25,112.82686783739403,113.7302406039074,111.80462259638443,113.32610321044922,11325284
2024-09-26,113.32610085157987,115.06153011874336,112.37517911506133,114.68115997314453,25497280
2024-09-27,114.56228685998656,115.39434332209161,113.27854405515866,113.89664459228516,12707940
2024-09-30,113.89664398253986,114.58606073931622,111.49556532518528,111.92347717285156,20393380
2024-10-01,112.16121364376527,115.1518665071887,111.02011048508761,113.22149658203125,23234612
