Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,RSI_Daily,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BB_Upper,BBB_20_2.0_2.0,BBP_20_2.0_2.0,ADX_14,ADXR_14_2,DMP_14,DMN_14,ATRr_14,RSI_Weekly,RSI_Monthly
2025-03-28,1216.499815421494,1220.5950773014051,1167.8557322270326,1183.038330078125,736620,1248.4290185546877,1625.643165283202,46.236578728110594,-14.096472646137954,13.933245040282298,-28.029717686420252,1081.5435749765545,1166.4698547363284,1251.3961344961024,14.561247239256065,0.5975462211971538,26.052187795094543,27.792868193905605,21.644519441665018,21.100848308757648,51.14007111700022,36.96991373819598,70.63809650290227
2025-04-01,1183.038313540502,1198.520493109815,1126.852984458316,1136.0423583984375,752560,1241.7397192382814,1622.1040893554675,39.40906470548841,-17.12196699808851,8.726200550665396,-25.848167548753906,1083.0459161121864,1167.0067382812501,1250.9675604503138,14.389089525347545,0.3156022113476766,25.0125761292175,26.48547060207445,19.53829656711475,24.614860793307603,52.6063166551787,35.465236366140836,71.34014085573446
2025-04-02,1140.0877615127115,1186.6341612988797,1140.0877615127115,1176.24609375,851071,1236.0282934570314,1618.6420440673812,46.66479798368501,-16.090110841252,7.806445366001526,-23.896556207253525,1082.9284216148114,1166.6871032714846,1250.4457849281578,14.358379624118081,0.5570626846641266,24.04722243947453,25.04970511728454,18.19246573083074,22.919347646975847,52.46242281555467,35.465236366140836,71.34014085573446
2025-04-03,1158.7163035356552,1191.5783798477455,1156.668611711848,1187.133544921875,497898,1232.024899902344,1614.9637579345688,48.46459627030724,-14.229798820432507,7.733405909456817,-21.963204729889323,1082.9280598591572,1166.7145751953126,1250.501090531468,14.36281282800109,0.6218511692761094,23.012820546593552,24.012698337905526,17.9962476626106,21.803312802231417,51.20866176700773,35.465236366140836,71.34014085573446
2025-04-04,1174.697936859818,1180.7409079796587,1109.7226764725824,1125.7542724609375,567401,1228.1843212890626,1610.9371624755845,40.2237368777103,-17.506478671997,3.5653808463138574,-21.07185951831086,1078.57880013352,1164.1625122070313,1249.7462242805427,14.703052396226175,0.27561010842166195,23.024588114091614,23.535905276783073,16.121585894699134,25.849450841410764,53.080247958599514,35.465236366140836,71.34014085573446
2025-04-07,1058.7813508162235,1083.4529052189146,1046.845138133256,1059.0810546875,818992,1222.544814453125,1606.9152374267564,33.55018313074684,-25.192835202334663,-3.2967805472190435,-21.89605465511562,1061.0766742271899,1158.6014160156249,1256.1261578040599,16.834908095282316,-0.010231350030226486,24.01433228579258,23.513576416193068,14.467204613057847,31.373845172255333,54.92516841353395,33.45119718199016,71.34014085573446
2025-04-08,1106.726158474782,1106.726158474782,1063.7755945628546,1085.80029296875,436959,1219.1766918945314,1602.296450805663,37.99027440389515,-28.796362362330456,-5.520246165771869,-23.276116196558586,1053.030849527633,1155.7147460937501,1258.3986426598672,17.769764885873915,0.159564666598024,24.28434006283114,23.654464088461378,16.617780228455096,29.411308103304687,54.40516379737311,33.45119718199016,71.34014085573446
2025-04-09,1092.8420429714463,1092.8420429714463,1061.777824331375,1078.2088623046875,499026,1215.8924707031251,1597.7923846435535,37.22913312879123,-31.897059166157533,-6.896754375679155,-25.000304790478378,1045.985116829405,1153.492303466797,1260.9994901041891,18.640295442679854,0.14986786689883883,24.566518427135136,24.290425356463857,15.918611271565206,28.44444913907,52.7379534289944,33.45119718199016,71.34014085573446
2025-04-11,1114.2174351329206,1125.6043521773754,1085.4006302911362,1121.5589599609375,683548,1212.9308789062502,1593.13784423828,44.114726296382905,-30.50475332573842,-4.4035588282080305,-26.10119449753039,1045.5992002422772,1153.3150024414065,1261.0308046405357,18.679337730127497,0.35259339004985063,23.93783321559858,24.11108663921486,19.35899160367884,26.60521442495918,52.35634888925823,33.45119718199016,71.34014085573446
2025-04-15,1133.695077016844,1201.616896609043,1124.7054244237588,1197.1220703125,822076,1210.5356347656252,1589.1954132080066,53.65736326195649,-23.03845643325394,2.450190451421161,-25.488646884675102,1049.2796659487453,1157.3004150390627,1265.3211641293801,18.66771111227353,0.6843241025858001,22.718293020248172,23.642405723691652,27.31415042557364,23.805181232631945,54.33503372917588,33.302037622971675,71.34014085573446
