Date,Open,High,Low,Close,Volume,MA50,MA200,EMA9,EMA21,BB_Upper,BB_Lower,BB_Mid,RSI,RSI_W,RSI_M,MACD,MACD_Signal,MACD_Hist,ADX,ATR,StochRSI_K,StochRSI_D,Williams_R,OBV,OBV_SMA20,Supertrend_Dir
2025-06-20,872.8623965226532,883.7658455804684,864.8076708554237,881.506591796875,371359,778.5144726562497,890.4993978881837,875.59113219435,854.3371917203821,909.1199152581036,824.8026494391619,866.9612823486327,60.304809587601945,53.54280248295664,28.310663679823698,27.456985351311005,31.915384917680868,-4.458399566369863,29.851522753240612,30.48119611963795,14.20900637885866,15.79211433836092,-42.891474779253116,98008616.0,94471734.0,1.0
2025-06-23,863.3342198669675,876.8898022591276,860.7311288479766,868.3438720703125,381768,782.8247595214841,890.2931170654298,874.1416801695425,855.6105262976484,909.0783929169845,827.0592352568437,868.0688140869141,56.39487970600354,55.16128380976543,28.310663679823698,25.152405337149958,30.56278900157469,-5.410383664424732,29.00590302220404,29.787929464585126,8.15081767815927,11.533675701797225,-59.0361062512705,97626848.0,95475468.05,1.0
2025-06-24,883.471141262921,887.9896486793928,869.8663966242466,872.9606323242188,488591,787.3570422363279,890.0996063232424,873.9054706004778,857.1878086637003,909.1557289046641,829.6340782242423,869.3949035644532,57.43725244688258,55.16128380976543,28.310663679823698,23.42847417437656,29.135926036135068,-5.707451861758507,28.591224180176965,29.063489974906208,8.699674085897321,10.353166047638416,-53.37345488116196,98115439.0,95814184.4,1.0
2025-06-25,893.8833629166659,921.3874663910248,890.8382897279655,911.2698974609376,4678890,792.6152380371091,890.0779962158205,881.3783559725698,862.1043621907219,915.5878547611381,828.3687980708931,871.9783264160156,64.92902492505044,55.16128380976543,28.310663679823698,24.866834451778004,28.282107719263657,-3.4152732674856523,29.139501475324828,30.446585981470477,21.982495390585942,12.94432905154751,-11.70453251540633,102794329.0,96278123.35,1.0
2025-06-26,917.458343807534,930.2281066228422,906.0638102001656,917.5074462890624,1444530,796.9893725585935,889.8142517089846,888.6041740358684,867.1410061996619,922.1049006148858,828.6492009476144,875.3770507812501,65.97904181746904,55.16128380976543,28.310663679823698,26.207954410939806,27.867277057598887,-1.6593226466590814,29.85919941349031,29.99785101298521,43.98253761047732,24.888235695653528,-13.350524543315057,104238859.0,96857340.95,1.0
2025-06-27,921.1909842439863,923.352032907586,886.8599578381276,890.0032958984375,890201,800.5757104492184,889.3879379272462,888.8839984083822,869.2193961722778,917.3617993693806,840.6268602985881,878.9943298339844,57.7662373250215,55.16128380976543,28.310663679823698,24.765959995521598,27.24701364518343,-2.481053649661831,29.55650329337237,30.461724159876155,45.35877968320705,37.10793756142344,-42.216544482388194,103348658.0,97464335.85,1.0
2025-06-30,899.7771556600811,909.4035804874402,894.865708303858,902.1837768554688,525412,804.6531945800778,889.1003729248048,891.5439540977997,872.2161580525678,918.4409996267408,844.9895484689622,881.7152740478515,60.132975365567326,55.81898365091756,33.161617002009145,24.32562142735867,26.662735201618478,-2.3371137742598087,29.275428324691426,29.671621333385197,36.042586810716784,41.79463470146705,-29.432946327943387,103874070.0,98047723.2,1.0
2025-07-01,902.1837169925874,904.6885429872194,887.9896230840894,893.6868896484375,376335,808.3190979003904,888.751905822754,891.9725412079272,874.1680427431014,918.4931586114318,848.7928704413026,883.6430145263672,57.70371379124586,55.81898365091756,33.161617002009145,23.02559739957769,25.935307641210322,-2.909710241632631,28.66476669846967,28.744999802652682,18.594617305582474,33.33199459983543,-38.3505573813582,103497735.0,98559328.2,1.0
2025-07-02,897.6160741353721,900.8085148006272,882.2432804428876,887.547607421875,287188,811.5085913085935,888.510753479004,891.0875544507168,875.3843668048081,918.5443163231813,850.9665967627562,884.7554565429688,55.94511728938303,55.81898365091756,33.161617002009145,21.254916773988384,24.999229467765936,-3.7443126937775517,27.80554234537495,28.017873699444607,14.825652317537182,23.15428547794548,-44.79382651153125,103210547.0,98999093.0,1.0
2025-07-03,889.9542253270479,896.4864740310468,877.430035069962,884.3551635742188,325938,814.6862976074217,888.0424468994142,889.7410762754172,876.1998937838454,916.9899749754496,855.4530670167379,886.2215209960938,55.00633369640308,55.81898365091756,33.161617002009145,19.370742224508604,23.87353201911447,-4.502789794605867,26.76061058857751,27.377771218133198,4.5520727147570685,12.657447445958907,-60.80728131745548,102884609.0,99499446.3,1.0
