Date,Open,High,Low,Close,Volume,MA50,MA200,EMA9,EMA21,BB_Upper,BB_Lower,BB_Mid,RSI,RSI_W,RSI_M,MACD,MACD_Signal,MACD_Hist,ADX,ATR,StochRSI_K,StochRSI_D,Williams_R,OBV,OBV_SMA20,Supertrend_Dir
2025-04-09,1171.5180204417052,1222.155779938768,1170.5395130118102,1215.648681640625,3686650,1066.4545141601561,1223.2919488525404,1147.168427431042,1108.5313264635206,1208.8492233500044,982.5721084371046,1095.7106658935545,78.06335345920985,49.15069561200802,64.6094185095302,34.80202832391387,23.77690390442513,11.025124419488744,17.4643835122349,36.80671174768038,93.86181319178398,88.03195838430936,-3.4111460751547695,-3098967.0,-17556269.85,1.0
2025-04-11,1257.675614241908,1258.3605216460817,1181.7433441279843,1197.3016357421875,1327101,1068.4599365234374,1222.601497192384,1157.195069093271,1116.601354579763,1220.1465209992562,989.3233642546497,1104.734942626953,71.7539554953202,49.15069561200802,64.6094185095302,37.21872234836496,26.465267593213095,10.753454755151868,19.066304108724783,39.65031644556731,87.724208867133,89.39103978481602,-26.902379918011697,-4426068.0,-16461329.65,1.0
2025-04-15,1208.1630094989198,1212.3706389948543,1177.5358002948349,1190.1585693359375,1563410,1070.4725561523435,1221.9009588623057,1163.7877691418043,1123.2883741030516,1227.5522759442217,998.8359869952312,1113.1941314697265,69.40206899802195,55.1024370362785,64.6094185095302,38.118181345389075,28.79585034364829,9.322331001740785,20.376820742297618,39.306353749456754,70.87250295217723,84.15284167036474,-30.0495956491174,-5989478.0,-15466370.75,1.0
2025-04-16,1192.6049213913798,1220.003129843263,1185.559596121441,1217.850341796875,779550,1073.032189941406,1221.1515008544932,1174.6002836728185,1131.884916620672,1235.1627019254843,1012.6352961213906,1123.8989990234375,73.0851645869277,55.1024370362785,64.6094185095302,40.59752074056428,31.15618442303149,9.441336317532787,21.743237616726983,38.95900946176856,58.45928920227149,72.35200034052724,-17.84867563036937,-5209928.0,-14400879.4,1.0
2025-04-17,1205.7166869543578,1218.535228563494,1188.2993281092702,1212.6641845703125,1217599,1075.4345092773435,1220.6287701416024,1182.2130638523172,1139.2284864342757,1241.7550290969996,1024.341040238938,1133.0480346679688,71.35290802529131,55.1024370362785,64.6094185095302,41.66366275870382,33.25768009016596,8.40598266853786,23.012053285839965,38.33593024694394,54.00245012255206,61.11141409233359,-20.133682471849067,-6427527.0,-13459570.3,1.0
2025-04-21,1218.2417333179212,1218.437387022503,1184.9724811630542,1187.3209228515625,769474,1075.9570312499998,1219.912350463868,1183.2346356521664,1143.6005261085745,1240.561423841221,1041.298390611904,1140.9299072265626,63.43981280832219,56.3905336469649,64.6094185095302,40.00247494055202,34.606639060243175,5.395835880308844,24.024572436467935,37.987999933551414,37.520822704174506,49.99418734299935,-31.29985501211697,-7197001.0,-12556734.9,1.0
2025-04-22,1198.6716105439643,1220.59020102611,1187.908028734998,1204.93408203125,1281722,1077.4414257812498,1219.1766473388682,1187.574524927983,1149.176303919727,1242.6664985044722,1054.5656548158404,1148.6160766601563,66.2418433985803,56.3905336469649,64.6094185095302,39.650144192054086,35.61534008660536,4.034804105448728,25.016154644154003,37.65094837933685,22.98773495558514,38.170335927437236,-23.539544734687755,-5915279.0,-11653523.35,1.0
2025-04-23,1204.9340920054424,1242.802282359041,1204.9340920054424,1241.2366943359375,1908019,1080.0491503906248,1218.7525341796884,1198.306958809574,1157.5454303212007,1253.303024466044,1060.2701933073936,1156.7866088867188,71.1497794944803,56.3905336469649,64.6094185095302,41.81818297247037,36.85590866377836,4.96227430869201,26.43761716198994,37.66646637565501,23.961359124926048,28.156638928228563,-10.872917935763715,-4007260.0,-10726046.45,1.0
2025-04-24,1247.5970374241442,1247.5970374241442,1199.6501708878438,1240.649658203125,2200361,1082.9680371093748,1218.3407171630868,1206.7754986882844,1165.1003601286484,1262.1728327243713,1066.6602117092225,1164.416522216797,70.97009640337909,56.3905336469649,64.6094185095302,42.99339927163214,38.08340678534912,4.9099924862830235,27.46659059320971,38.400780672843965,41.12611143498489,29.358401838498693,-11.245661457512334,-6207621.0,-9997343.0,1.0
2025-04-25,1237.8120238631316,1253.4681443230606,1228.418375476518,1239.27978515625,1485280,1085.842893066406,1217.9421185302742,1213.2763559818777,1171.8439442220667,1267.4679078816596,1077.040844559747,1172.2543762207033,70.52252567034527,56.3905336469649,64.6094185095302,43.314921892345865,39.12970980674847,4.185212085597392,28.559563433691903,37.4471369709653,50.88362587456564,38.65703214482552,-12.115473851162372,-7692901.0,-9298887.25,1.0
