Date,Open,High,Low,Close,Volume,MA50,MA200,EMA9,EMA21,BB_Upper,BB_Lower,BB_Mid,RSI,RSI_W,RSI_M,MACD,MACD_Signal,MACD_Hist,ADX,ATR,StochRSI_K,StochRSI_D,Williams_R,OBV,OBV_SMA20,Supertrend_Dir
2025-06-18,1457.077194252581,1477.9774615711096,1447.0728134988235,1453.7093505859375,462408,1412.3290917968752,1507.887000732422,1463.1060357279853,1453.58674730175,1519.9692019670028,1387.538549497841,1453.7538757324219,51.027818174457416,47.58456852129169,70.65893227646683,12.682426127413237,15.094987799201146,-2.412561671787909,10.034321309938852,42.535273558661224,38.57562400751237,37.204332220261726,-53.541251152464355,26344160.0,27509028.45,1.0
2025-06-19,1452.2232819824446,1469.062376317628,1444.1999729821928,1455.39306640625,681928,1416.0927294921876,1507.5658166503906,1461.5634418636382,1453.7509581294316,1520.3102565371403,1388.0196262753595,1454.16494140625,51.317358518793654,47.58456852129169,70.65893227646683,11.256865372791708,14.32736331391926,-3.0704979411275524,9.347791781101662,41.272925685573654,32.48443209247384,36.083110979419146,-52.43676580477042,27026088.0,27355868.85,1.0
2025-06-20,1456.0866119335958,1497.0947896771606,1455.3932857224568,1490.8543701171875,2392646,1420.6519653320315,1507.4259936523438,1467.4216275143483,1457.1239955828642,1522.5296595225993,1387.3949864734943,1454.9623229980468,57.073783319444495,47.58456852129169,70.65893227646683,12.840511626051693,14.029992976345747,-1.189481350294054,9.381629493092948,41.3035540845263,41.377527710149096,37.47919460337843,-29.17482938631585,29418734.0,27284346.5,1.0
2025-06-23,1475.8972423572634,1482.6329291447294,1454.0064416703856,1468.1710205078125,804202,1423.6962719726566,1507.283518676758,1467.5715061130413,1458.1282705760411,1523.193327228633,1387.5930863455858,1455.3932067871094,52.77501318354357,50.39393571601802,70.65893227646683,12.125431523714951,13.64908068581959,-1.523649162104638,9.370645710146665,40.98529511040313,44.67004624483307,39.51066868248533,-44.05467251538019,28614532.0,27206752.15,1.0
2025-06-24,1481.8405267923863,1516.9054939221976,1481.8405267923863,1491.2506103515625,1050554,1428.136840820313,1507.3764526367188,1472.3073269607455,1461.1393923738158,1527.1573365170354,1388.878918365777,1458.0181274414062,56.37536507572446,50.39393571601802,70.65893227646683,13.26810890658544,13.57288632997276,-0.3047774233873213,10.175912721475605,41.53880784640184,49.653526873545374,45.233700276175846,-31.515616140875036,29665086.0,27261649.2,1.0
2025-06-25,1506.5048626100352,1519.8770865029703,1488.7742600801205,1495.311767578125,1007044,1432.109677734375,1507.499631958008,1476.9082150842216,1464.245971937844,1530.3615706490784,1393.2621842337337,1461.811877441406,56.99663727788762,50.39393571601802,70.65893227646683,14.336132402331259,13.725535544444462,0.6105968578867973,10.989454897118598,40.79338060186241,45.356112418067774,46.5598951788154,-35.13049201128242,30672130.0,27475073.4,1.0
2025-06-26,1502.6417822426338,1509.5755281066408,1470.1521818281717,1502.0474853515625,980202,1435.463630371094,1507.6173266601563,1481.9360691376899,1467.6824731572729,1534.7132011428832,1395.6858345016478,1465.1995178222655,58.06338626232101,50.39393571601802,70.65893227646683,15.546850434744329,14.089798522504436,1.4570519122398924,11.114089410066024,40.695521007334314,51.84990956863797,48.95318295341704,-29.217385364292138,31652332.0,27690810.4,1.0
2025-06-27,1496.7976552830794,1522.6505987621028,1478.274696167077,1493.8260498046875,5582731,1438.4926904296879,1507.743461303711,1484.3140652710895,1470.0591619434015,1535.4142286305807,1402.9685350412944,1469.1913818359376,56.22990846515214,50.39393571601802,70.65893227646683,15.662405596744748,14.4043199373525,1.258085659392247,11.554385207662596,40.958405406455135,51.483066400781375,49.563029462495706,-36.43476394445481,26069601.0,27746855.95,1.0
2025-06-30,1508.1886589324024,1515.518642563078,1464.5060869473923,1474.21337890625,1279001,1441.2939208984378,1507.7777624511718,1482.2939279981215,1470.436818030933,1533.59252429812,1410.4858082214116,1472.0391662597658,52.01062112118682,50.58284180231541,72.15308692059425,14.009907767704362,14.325437503422874,-0.3155297357185116,11.496154252858027,41.67655899282874,41.945356029289236,48.42611066623619,-49.18972061518782,24790600.0,27678962.75,1.0
2025-07-01,1474.2133248830592,1481.8403962034322,1432.8089125055246,1435.780517578125,1499855,1442.5162377929692,1507.56244140625,1472.9912459141224,1467.2862452624959,1530.6471245266948,1415.8282905123679,1473.2377075195313,44.900548535116435,50.58284180231541,72.15308692059425,9.489689388090937,13.358287880356489,-3.8685984922655514,10.868547762759391,42.20191075747723,22.34619930724476,38.59154057910512,-85.81222009986223,23290745.0,27572375.65,1.0
