Date,Open,High,Low,Close,Volume,MA50,MA200,EMA9,EMA21,BB_Upper,BB_Lower,BB_Mid,RSI,RSI_W,RSI_M,MACD,MACD_Signal,MACD_Hist,ADX,ATR,StochRSI_K,StochRSI_D,Williams_R,OBV,OBV_SMA20,Supertrend_Dir
2025-01-27,3752.544654546079,3752.544654546079,3498.860951151704,3516.9599609375,646293,4542.628212890624,5020.554029541015,3933.608780763943,4203.10282741674,4967.705832321277,3593.462820022471,4280.584326171874,20.841584594259377,33.83097674580617,66.32704212818028,-249.14071951702863,-174.24881261754186,-74.89190689948677,30.95192125767366,174.77667584909346,9.962981026423932,9.207524861105185,-98.41152381473826,5030756.0,6858618.25,-1.0
2025-01-28,3516.9598248749085,3614.149024348212,3423.4895998712477,3587.471435546875,371615,4524.264409179687,5020.554029541015,3864.3813117205295,4147.136337246752,4955.267272898182,3498.4825073752545,4226.874890136718,24.880318280901754,33.83097674580617,66.32704212818028,-265.2771955532271,-192.4544892046789,-72.8227063485482,33.43510307245088,175.91115789394138,7.349753229080692,9.091905093976184,-86.5009507983487,5402371.0,6749428.25,-1.0
2025-01-29,3607.901143247444,3803.2216363743087,3599.967330947834,3787.998779296875,177677,4508.090341796875,5020.554029541015,3849.1048052357987,4114.487468342218,4906.746350881223,3459.7315299781517,4183.238940429687,35.03216408682784,33.83097674580617,66.32704212818028,-258.9001485524909,-205.74362107424133,-53.156527478249586,34.05449575515449,178.75680381776226,28.256367728807078,15.189700661437232,-69.73402440395932,5580048.0,6661327.25,-1.0
2025-01-30,3758.841998206804,3876.163299893693,3709.156642308808,3741.833984375,211347,4490.691494140624,5020.554029541015,3827.6506410636393,4080.609878890652,4849.274893203297,3425.081503281077,4137.178198242187,33.89645386996438,33.83097674580617,66.32704212818028,-254.63611931716332,-215.52212072282575,-39.11399859433757,34.06240029421346,177.91750765827103,54.634451632740934,30.0801908635429,-69.48232344864462,5368701.0,6558182.45,-1.0
2025-01-31,3765.585686819279,3945.088191247589,3765.585686819279,3935.96435546875,284772,4479.131933593749,5020.554029541015,3849.313383944662,4067.460285852297,4791.102892599425,3419.1532597443256,4105.128076171875,42.35897079924556,33.83097674580617,55.3691571923021,-232.90733610460302,-218.99916379918122,-13.9081723054218,33.55408308156873,179.72727188786516,82.88440023294982,55.258406531499276,-49.23620013269602,5653473.0,6486283.85,-1.0
2025-02-01,3936.1132283548086,4016.988580756415,3558.3150296886843,3715.156494140625,524100,4463.195874023436,5019.2005859375,3822.482005983855,4035.432668423963,4749.808847149967,3383.776968279721,4066.7929077148438,36.61697367765545,33.83097674580617,55.3691571923021,-230.8434483248734,-221.3680207043197,-9.475427620553717,33.85644326323478,199.65200611499841,84.14962259224731,73.88949148597935,-71.10858693645096,5129373.0,6395782.45,-1.0
2025-02-03,3724.280392097304,3886.675614472588,3662.7437113165975,3834.213134765625,420339,4448.461787109374,5018.1848583984365,3824.828231740209,4017.139983545932,4693.617801258171,3374.166915538704,4033.892358398438,41.24194217963282,33.020538888547314,55.3691571923021,-217.0983518285061,-220.51408692915697,3.4157351006508634,34.13720628906755,201.38628447506932,89.37444403352077,85.46948895290596,-59.31528900021503,5549712.0,6322831.85,-1.0
2025-02-04,3849.7832935895008,4013.021584638078,3849.7832935895008,3958.9228515625,695882,4436.964697265625,5017.281491699218,3851.6471557046675,4011.8475170019838,4613.4916860697185,3393.2869760396575,4003.389331054688,45.71064850019592,33.020538888547314,55.3691571923021,-193.90699281389743,-215.1926681061051,21.285675292207657,33.46341835391007,199.77358200345387,89.37444403352077,87.63283688642962,-40.24347460365843,6245594.0,6273510.95,-1.0
2025-02-05,3942.856946755955,4040.294083150037,3915.386168939737,3973.3525390625,145710,4425.611416015624,5017.097270507813,3875.9882323762345,4008.3479735529395,4503.973226471873,3436.9349766531277,3970.4541015625005,46.2203008913357,33.020538888547314,55.3691571923021,-172.37627215784914,-206.6293889164539,34.25311675860476,32.64539728997557,194.42603430394286,98.26957201187398,92.33948669297183,-31.243808016885076,6391304.0,6214708.85,-1.0
2025-02-06,3976.674853488922,4041.2857421875,3909.386109375,3935.914794921875,93710,4414.673657226561,5016.046822509766,3887.973544885363,4001.7631391319333,4411.775689443703,3471.99913965786,3941.8874145507816,45.03893360425697,33.020538888547314,55.3691571923021,-156.52955867321361,-196.60942286780588,40.07986419459226,31.914163754749254,189.9598627688398,98.44834903750322,95.36412169429931,-17.05594128033342,6297594.0,6155716.95,-1.0
