Date,Open,High,Low,Close,Volume,MA50,MA200,EMA9,EMA21,BB_Upper,BB_Lower,BB_Mid,RSI,RSI_W,RSI_M,MACD,MACD_Signal,MACD_Hist,ADX,ATR,StochRSI_K,StochRSI_D,Williams_R,OBV,OBV_SMA20,Supertrend_Dir
2025-02-10,11533.555839700244,11954.3562670721,11496.208697388553,11722.037109375,30564,11414.319355468753,14259.142460937497,11170.268025962705,11098.163452899484,11932.342562994196,9880.920718255813,10906.631640625004,59.97308737742441,41.00389010319714,84.03676740468647,-54.28675596963876,-225.37876570403358,171.09200973439482,39.83760476804954,420.4153824164429,94.55674566584341,92.23742767681621,-9.935895953173846,-3381362.0,-3472157.0,1.0
2025-02-11,11541.944301135303,11697.921133721553,11056.236415362657,11212.4638671875,23147,11391.300195312502,14259.142460937497,11178.707194207664,11108.55439965294,11899.135490358545,9890.301814328963,10894.718652343754,50.59773592728433,41.00389010319714,84.03676740468647,-41.61256281351234,-188.62552512592933,147.012962312417,37.1056741754948,437.94290467329296,89.1546812443188,91.75750178785933,-31.040102082896105,-3404509.0,-3472386.25,1.0
2025-02-12,11084.196117778796,11453.669321704756,10853.5747431587,10973.8037109375,37118,11359.967871093751,14259.142460937497,11137.72649755363,11096.304337042444,11832.66031380664,9904.062244787116,10868.361279296878,46.89979409676302,41.00389010319714,84.03676740468647,-50.24683918334449,-160.94978793741237,110.70294875406788,35.044764339344134,449.525167092776,77.59846580453986,87.10329757156735,-40.924320317805766,-3441627.0,-3474682.8,1.0
2025-02-13,11007.256242014835,11124.98779648754,10720.564416264728,10838.3466796875,48207,11329.086914062502,14259.142460937497,11077.850533980405,11072.853640919266,11794.236953260226,9900.630234239778,10847.433593750002,44.89427735217184,41.00389010319714,84.03676740468647,-67.24466117756128,-142.20876258544214,74.96410140788086,33.43032635789769,446.3036108877786,63.411015510694874,76.72138751985116,-49.85378663887327,-3489834.0,-3479212.05,1.0
2025-02-14,10836.549529529218,10879.48830853491,10523.196495447695,10715.123046875,19919,11296.790976562499,14244.450136718746,11005.305036559326,11040.332677824332,11780.385251245665,9887.740139379337,10834.062695312501,43.089179620656175,41.00389010319714,84.03676740468647,-89.62552762328778,-131.6921155930113,42.066587969723514,32.35655086500846,439.87419675916686,40.73859101879653,60.58269077801042,-67.5667112733044,-3509753.0,-3484141.7,1.0
2025-02-17,10544.964966212,10974.352744192223,10395.877730426777,10864.9091796875,13246,11268.342558593751,14230.472832031248,10977.225865184962,11024.38508708462,11772.110890992362,9884.291257445138,10828.20107421875,45.93488011224126,35.4170552554829,84.03676740468647,-94.19026962707903,-124.19174639982485,30.001476772745818,31.62244229590534,449.77425511675824,24.88966666365001,43.01309106438047,-70.05036487196084,-3496507.0,-3488040.55,1.0
2025-02-18,10915.7359766041,10915.7359766041,9885.90452180631,10022.3603515625,69662,11229.004667968751,14212.829414062497,10786.25276246047,10933.291929309882,11804.497868114173,9786.028303760828,10795.2630859375,35.25581460542355,35.4170552554829,84.03676740468647,-163.90511338786382,-132.13441979743266,-31.770693590431165,31.84747867248958,491.20691223683207,7.737700673927277,24.455319452124602,-93.42711148255106,-3566169.0,-3494054.6,-1.0
2025-02-19,10130.555447691162,10991.328123483156,10022.36010757198,10758.4599609375,40451,11209.23583984375,14199.612128906245,10780.694202155875,10917.398114003301,11808.403652907586,9805.199569748667,10806.801611328126,46.875880701456616,35.4170552554829,84.03676740468647,-157.93694392394355,-137.29492462273484,-20.642019301208705,31.812446149813603,525.332705356428,20.04222396039483,17.55653043265737,-57.97021177511959,-3525718.0,-3497304.5,-1.0
2025-02-20,10634.83637672698,11039.309465673156,10500.078325444749,10987.18359375,26968,11195.539335937501,14187.829243164057,10821.992080474702,10923.742248525727,11799.13664675289,9902.246361059613,10850.691503906251,49.88562291969866,35.4170552554829,84.03676740468647,-133.21541658199385,-136.47902301458663,3.2636064325927805,31.62012517143792,526.3254507044265,31.883770964685624,19.887898533002577,-46.95291084727641,-3498750.0,-3497172.65,-1.0
2025-02-21,11044.801890177829,11109.160321863395,10746.72689187884,10792.162109375,6607,11181.996621093751,14174.957783203121,10816.026086254762,10911.780417693843,11722.454944936593,10073.158629282158,10897.806787109375,47.41876629715099,35.4170552554829,84.03676740468647,-127.8858435823804,-134.7603871281454,6.874543545764993,31.20169552976838,514.6188777958644,46.657204160285445,32.86106636178863,-56.34682591557808,-3505357.0,-3492852.6,-1.0
2025-02-24,10784.623347960316,11001.714211718656,10574.97207219402,10795.1083984375,9109,11166.52568359375,14162.295566406245,10811.842548691311,10901.173870488721,11672.767215740778,10190.624776446724,10931.695996093751,47.46103584420392,36.05355265688313,84.03676740468647,-122.01783206393884,-132.2118761153041,10.194044051365267,31.154790145794546,508.3419679193481,47.36794861027933,41.969641245083466,-56.20490724795799,-3496248.0,-3489536.55,-1.0
2025-02-25,10818.574456637563,10974.352342481709,10697.346916943874,10894.765625,6550,11152.123203125002,14149.803452148431,10828.427163953049,10900.591302717019,11675.357015476162,10202.214761867588,10938.785888671875,48.95576213285314,36.05355265688313,84.03676740468647,-108.08000631015602,-127.38550215427449,19.305495844118468,31.11123514639027,491.81792917781144,46.23851584068167,46.75455620374881,-51.40455653136469,-3489698.0,-3486587.45,-1.0
2025-02-27,10894.765778578363,10969.309882379192,10702.690035541376,10919.5302734375,8496,11139.243554687502,14139.007739257806,10846.64778584994,10902.313027327971,11678.643020432077,10213.94731159917,10946.295166015623,49.34145440516576,36.05355265688313,84.03676740468647,-93.95284886348782,-120.69897149611717,26.74612263262935,31.07079121837202,475.7323518678117,48.573862148029896,47.393442199663625,-50.21167768079202,-3481202.0,-3483747.15,-1.0
2025-02-28,10817.87532887534,11013.746440147765,10587.404137451484,10926.3212890625,28465,11125.462207031253,14128.786127929681,10862.582486492453,10904.495596576564,11673.29574664991,10210.097710381338,10941.696728515624,49.45424325362255,36.05355265688313,83.79764575681098,-81.2721419381669,-112.81360558452712,31.541463646360228,31.287460882063122,472.20449121270235,52.89686944868777,49.23641581246644,-49.700699103207754,-3452737.0,-3481592.9,-1.0
2025-03-03,10784.623270342518,10869.502249785028,10508.766587154358,10680.671875,7680,11106.317519531252,14116.78415039062,10826.200364193963,10884.147985524149,11666.554348296308,10185.90326889119,10926.228808593749,45.50730569965825,37.21402691012414,83.79764575681098,-90.00690154367658,-108.25226477635702,18.245363232680447,31.659405043981877,468.30093483380523,58.52993687018574,53.33355615563446,-56.13906914718365,-3460417.0,-3479702.55,-1.0
