Date,Open,High,Low,Close,Volume,MA50,MA200,EMA9,EMA21,BB_Upper,BB_Lower,BB_Mid,RSI,RSI_W,RSI_M,MACD,MACD_Signal,MACD_Hist,ADX,ATR,StochRSI_K,StochRSI_D,Williams_R,OBV,OBV_SMA20,Supertrend_Dir
2025-05-13,6890.022281859866,6994.749024708055,6882.043101452385,6899.49755859375,323598,6615.783535156248,6818.987478027347,6898.277983052365,6877.2512884491,7189.389759206804,6731.880699777572,6960.635229492188,52.673232612649954,49.90773307403363,75.20819487367999,51.66687457689568,87.8895885937059,-36.222714016810215,17.751257522912663,144.96024058658924,22.346610804567003,12.421405953602932,-57.559652443910835,4765720.0,5609684.1,-1.0
2025-05-14,6911.964377388988,6974.800417183434,6844.640049037797,6898.49951171875,324593,6629.050917968749,6821.639345703128,6898.322288785643,6879.182945109977,7178.939684020556,6755.850452698193,6967.395068359375,52.619756687469774,49.90773307403363,75.20819487367999,47.42478257520543,79.79662739000581,-32.37184481480038,16.48451203993378,143.90310684080688,33.22499667180296,22.326868995990292,-57.7366023556163,4441127.0,5628509.05,-1.0
2025-05-15,6923.933377518558,7078.031289766702,6852.120758218452,7054.09375,656146,6645.431171874999,6824.974714355472,6929.476581028515,6895.083927372706,7187.1249098408725,6764.371623362252,6975.748266601562,59.51961569794249,49.90773307403363,75.20819487367999,55.97282884617198,75.03186768123905,-19.05903883506707,16.10682432226138,149.7607800341957,50.66755677271465,35.413054749694865,-30.15033620379398,5097273.0,5641221.25,-1.0
2025-05-16,7061.574491602816,7086.509429779379,6974.800906748375,6996.74365234375,270772,6661.983984374999,6828.206311035159,6942.929995291563,6904.325720551892,7187.749800185157,6764.694242783592,6976.222021484375,56.26707596234284,49.90773307403363,75.20819487367999,57.457212534935934,71.51693665197843,-14.059724117042492,15.818232535077465,147.04276167682488,62.96974953104599,48.95410099185453,-21.052639953420048,4826501.0,5609295.05,-1.0
2025-05-19,6966.821795231177,7042.62400803541,6947.37254326167,6956.34912109375,307173,6680.3740039062495,6829.849907226566,6945.613820452,6909.055120601151,7179.647486918968,6762.922337299782,6971.284912109375,54.02757594847124,56.281955868452656,75.20819487367999,54.743052390406774,68.1621597996641,-13.419107409257322,15.28614731387264,143.3433833266045,74.47708851857993,62.70479827411352,-30.526311844729083,4519328.0,5535342.75,-1.0
2025-05-20,6967.320437113444,6988.764483981662,6873.066370646159,6894.01171875,365507,6695.163408203124,6831.096789550784,6935.293400111601,6907.687538614683,7157.808846508784,6761.770987475593,6959.789916992188,50.675559894638816,56.281955868452656,75.20819487367999,47.019936963250075,63.933715232381296,-16.91377826913122,14.276173251032343,141.36872118438296,61.329481405721005,66.25877315178231,-45.146214046495714,4153821.0,5430886.6,-1.0
2025-05-21,6910.4686568741945,7024.67067191527,6910.4686568741945,6965.82421875,449740,6711.038984374999,6832.9048583984395,6941.399563839281,6912.972691354257,7145.746705897542,6763.410325352461,6954.578515625001,54.20076853808623,56.281955868452656,75.20819487367999,46.16185579424382,60.379343344753806,-14.217487550509986,13.490254070470678,140.6037377544463,60.820637267384,65.5424023972283,-28.30413068416855,4603561.0,5364194.45,-1.0
2025-05-22,6965.824105008448,6982.779862423274,6897.003677854154,6936.40087890625,229993,6725.8024609375,6834.693598632814,6940.399826852676,6915.102526586256,7119.140588556873,6771.315221990004,6945.227905273438,52.54377602061283,56.281955868452656,75.20819487367999,42.6163479302013,56.8267442618433,-14.210396331642002,12.632552374692715,136.6874839554944,57.86289089049763,60.00433652120087,-35.20474467820189,4373568.0,5271623.0,-1.0
2025-05-23,6969.31513742375,7069.553587700829,6911.964780300048,7046.11474609375,321466,6741.569316406249,6836.577932128908,6961.542810700891,6927.012728359665,7096.169436752927,6784.8110808252,6940.490258789064,57.73266317614197,56.281955868452656,75.20819487367999,48.104975357317926,55.08239048093823,-6.977415123620304,12.592036112210424,138.18043563015772,71.93023330660446,63.53792048816202,-9.473707641820116,4695034.0,5181236.4,-1.0
2025-05-26,7076.535641951028,7101.470580788065,7061.574678648806,7078.03173828125,228090,6759.131494140625,6838.603205566408,6984.840596216964,6940.741729261627,7114.968059107264,6780.325153783363,6947.646606445313,59.132583592431885,57.27119008135779,75.20819487367999,54.40306203047294,54.946524790845174,-0.5434627603722362,12.810770186644795,132.26439270616893,81.76111268231534,70.5180789598058,-5.310734381442184,4923124.0,5129762.2,-1.0
