Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,RSI_Daily,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BB_Upper,BBB_20_2.0_2.0,BBP_20_2.0_2.0,ADX_14,ADXR_14_2,DMP_14,DMN_14,ATRr_14,RSI_Weekly,RSI_Monthly
2025-03-28,252.4900054931641,263.79998779296875,252.1499938964844,255.1000061035156,3313968,282.3482000732423,359.3545498657226,43.99112907582319,-6.663470850447027,2.835220490212988,-9.498691340660015,238.60206991094734,252.51549987792967,266.42892984491203,11.01986212625232,0.5928781124323458,26.79081678734394,28.44645092183094,25.37674731586006,23.76877972649626,10.016836252766598,33.969924170875565,5.067214653691775
2025-04-01,255.1000061035156,263.95001220703125,253.3500061035156,260.75,3035758,280.7922003173829,358.7150498962402,48.7403963362626,-5.716952613074056,3.0253909820687674,-8.742343595142824,238.7387573550012,253.06049957275386,267.3822417905065,11.318828692689909,0.7684554822427454,25.127049445489924,26.86350878847122,23.57307411716737,21.979607601047594,10.058491242105816,32.53437783020444,5.880659151418441
2025-04-02,260.3500061035156,261.6499938964844,252.6999969482422,259.0,2626407,279.0682000732422,358.0430499267578,47.39973087473285,-5.049829177946208,2.954011533757292,-8.0038407117035,238.7607709081565,253.3264999389648,267.8922289697731,11.499569949703401,0.6947551011362031,23.502319495201164,25.146568141272553,22.06295771260684,21.036825092680257,9.979313078258414,32.53437783020444,5.880659151418441
2025-04-03,257.6499938964844,265.29998779296875,256.5,263.54998779296875,2428693,277.7541998291016,357.3285498046874,51.161165533869806,-4.106644221891884,3.117757191849293,-7.224401413741177,239.19727385745352,254.14449920654292,269.0917245556323,11.762776999506729,0.8146232282835968,22.420925842884277,23.773987644187102,23.296223622751306,19.700490793809134,9.895075557880581,32.53437783020444,5.880659151418441
2025-04-04,262.25,263.20001220703125,249.6499938964844,258.79998779296875,2425014,276.4841998291016,356.6287997436523,47.35409309112293,-3.6997996640499764,2.8196813997529606,-6.519481063802937,239.2200378201206,254.2984985351562,269.37695925019176,11.858867277543924,0.6492688591655739,21.075064830350758,22.28869216277596,21.02439460874092,22.585123289082393,10.181141153495137,32.53437783020444,5.880659151418441
2025-04-07,244.6000061035156,271.29998779296875,238.5,268.3500061035156,24894586,275.31219970703125,355.96879974365226,54.65932446262583,-2.577059023713673,3.153937632071412,-5.730996655785085,238.57517963268378,254.66649932861327,270.75781902454275,12.637170368581362,0.9251828636020383,20.940383657545045,21.68065475021466,16.84891928892912,24.850922223287387,11.79677305631468,33.841905389049764,5.880659151418441
2025-04-08,275.0,276.25,247.1499938964844,248.8999938964844,24061856,273.855199584961,355.2110496520995,41.905492955467054,-3.2196186522309063,2.009102402843343,-5.228721055074249,238.0494235957975,254.33899917602537,270.6285747562532,12.809341574041515,0.33305257854161757,20.203681504120162,20.639373167235462,16.87466529688703,20.88747985815962,13.03271827397189,33.841905389049764,5.880659151418441
2025-04-09,252.0,252.0,239.5500030517578,243.3500061035156,9410341,272.4641998291016,354.43204971313463,39.10180272347447,-4.1290918187165175,0.8797033890861856,-5.008795207802703,237.0073561310274,253.96549911499025,270.9236420989531,13.354682461246098,0.18700897788414636,20.197414318200117,20.56889898787258,15.719535977069444,23.636340913551287,12.991095322134054,33.841905389049764,5.880659151418441
2025-04-11,249.4499969482422,249.4499969482422,242.0500030517578,246.9499969482422,5351397,271.17419952392584,353.7045496368407,41.82087236758474,-4.507408086113429,0.4011096973514192,-4.908517783464848,236.825001321283,253.89399871826174,270.96299611524046,13.445766724025379,0.2965902270496376,20.191594788417216,20.197638146268687,15.059667149051666,22.644143395761617,12.591730934587648,33.841905389049764,5.880659151418441
2025-04-15,249.8999938964844,259.3999938964844,247.3500061035156,258.6000061035156,5989813,269.87719940185553,353.0177996063231,49.65486186847823,-3.823097786518133,0.8683359975573728,-4.691433784075506,238.88711917538447,254.80949935913088,270.73187954287727,12.4974777029841,0.6190307824785554,18.995035580224187,19.59622494921215,19.644062674810716,21.043623830007522,12.581607078420117,31.72147134659712,5.880659151418441
2025-04-16,258.6000061035156,263.70001220703125,257.20001220703125,263.04998779296875,3579086,268.68619903564456,352.34229957580555,52.297130247510964,-2.8884048781436036,1.4424231247455221,-4.330828002889126,240.80096078724037,255.8739990234375,270.9470372596346,11.781609928108766,0.7380405548331488,17.840980201311563,19.01628749486439,21.42175194876696,20.239302782010874,12.14720657281868,31.72147134659712,5.880659151418441
2025-04-17,263.0,282.79998779296875,262.20001220703125,281.04998779296875,17063440,267.88619903564455,351.74704948425284,61.17368654068564,-0.6872818886405412,2.914836891398868,-3.602118780039409,240.29395414446165,257.80649871826176,275.31904329206185,13.585805370203877,1.1636239804203201,18.330890788719174,18.66296318447168,29.64918946206375,17.903744031118308,12.750975788041453,31.72147134659712,5.880659151418441
2025-04-21,285.0,293.5,284.0,292.0,8984493,267.3091989135743,351.2062995147704,65.39255793882765,1.9185821896066955,4.416560775716884,-2.4979785861101886,238.44688802009767,260.2864990234375,282.1261100267773,16.7812092331176,1.2260546209296657,19.428655762050997,18.63481798168128,33.58195328856318,16.652981122959496,12.729478389397867,42.82363090354541,5.880659151418441
2025-04-22,292.95001220703125,303.5,292.5,294.0,7295416,266.72219879150396,350.6770494842529,66.11675246031082,4.097893564990045,5.276697720880187,-1.178804155890142,235.39294639064622,261.93849945068365,288.4840525107211,20.268538695691266,1.1038958856273144,20.956515680948762,19.643703234833968,37.05012129016644,15.570905184201486,12.641658504440876,42.82363090354541,5.880659151418441
2025-04-23,298.0,304.25,292.20001220703125,302.79998779296875,5647213,266.202198791504,350.2007994842529,69.17341764602004,6.4606249387039725,6.111543275675292,0.3490816630286808,232.1443015471259,264.2249984741211,296.3056954011163,24.282862796676113,1.1012180690249853,22.411589096222908,20.920122429136953,34.9442748777821,14.507196524989572,12.599396310764297,42.82363090354541,5.880659151418441
2025-04-24,303.0,303.5,297.25,300.70001220703125,2708140,265.64919891357425,349.7072995758056,67.6060698022163,8.070622977479672,6.177233051560793,1.8933899259188793,230.09690725590198,266.0789993286133,302.0610914013246,27.046172124446876,0.9810867140306502,23.76272869612033,22.359622188534544,33.6598773600898,13.97397592531938,12.145868002852561,42.82363090354541,5.880659151418441
2025-04-25,300.70001220703125,307.0,297.54998779296875,304.8999938964844,9317417,265.3081985473633,349.24054954528805,69.11341884956593,9.575085815251953,6.145356711466459,3.429729103785494,228.55423841345896,268.33299865722654,308.1117589009941,29.648802378258136,0.9596296492798194,25.203709813825075,23.80764945502399,33.850582196562605,13.184868272284191,11.95330687457961,42.82363090354541,5.880659151418441
2025-04-28,308.5,309.8999938964844,299.04998779296875,304.3500061035156,4789531,265.09319854736333,348.7845496368408,68.66284877533872,10.600804558623054,5.736860363870047,4.863944194753007,228.19396788590115,270.6904983520508,313.1870288182004,31.398612603594312,0.8960265388991712,26.694588674650323,25.228658685385327,33.38572270837191,12.324345392390601,11.874499676646467,49.06216698981184,5.880659151418441
2025-04-29,305.5,312.5,305.0,309.8500061035156,3788079,265.3451986694336,348.36154960632314,70.7186688624377,11.722369903900983,5.48674056731838,6.235629336582603,228.25043939974847,273.44849853515626,318.64655767056405,33.057822132891935,0.9026888351478207,28.215857148754488,26.709783481289783,33.311313784352855,11.706302855108808,11.608463549492031,49.06216698981184,5.880659151418441
2025-04-30,309.8500061035156,310.79998779296875,304.75,305.54998779296875,2052252,265.77319854736334,347.9302996063232,67.016957128632,12.124479526808386,4.711080152180626,7.41339937462776,229.79894106274918,276.07999801635737,322.36105496996555,33.5272799812655,0.8183806908964061,29.589706120794276,28.142147397722297,32.02733682291749,11.414362326916217,11.211429566883226,49.06216698981184,13.546838496041772
2025-05-02,306.8999938964844,310.20001220703125,305.5,306.8500061035156,1208961,266.4341989135742,347.52529960632313,67.56965017352785,12.40505713617489,3.9933262092377024,8.411730926937187,231.54631646216347,278.66749801635746,325.78867957055144,33.81892893115796,0.7990428842997657,30.865423023402652,29.540640086078568,31.026803235698203,11.057777795772868,10.746328326893797,49.06216698981184,13.546838496041772
2025-05-05,307.1000061035156,309.0,304.0,305.6499938964844,1515769,266.91119903564453,347.16854957580557,66.4625393701454,12.387787256500303,3.1808450636504926,9.20694219284981,233.11215595131458,280.91249771118163,328.7128394710487,34.03219304896337,0.7587585702794306,31.787994223109173,30.688850171951724,29.95471212024121,11.712301820626285,10.335876303544241,49.54688330429908,13.546838496041772
